filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
Jinja2-2.7.1/docs/jinjaext.py,101,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/examples/bench.py,16,"Constant name ""jinja_template"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/examples/bench.py,147,"Constant name ""mako_template"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"Mako templates allow HTML/JS rendering by default and are inherently open to XSS attacks. Ensure variables in all templates are properly sanitized via the 'n', 'h' or 'x' flags (depending on context). For example, to HTML escape the variable 'data' do ${ data |h }.",HIGH,MEDIUM
Jinja2-2.7.1/jinja2/_stringdefs.py,27,Line too long (12306/100),Category.C,line-too-long,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/_stringdefs.py,27,"Constant name ""Cs"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/_stringdefs.py,27,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/sandbox.py,312,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/_compat.py,63,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/_compat.py,30,Unused import pickle,Category.W,unused-import,Consider possible security implications associated with pickle module.,HIGH,LOW
Jinja2-2.7.1/jinja2/_compat.py,59,Unused cPickle imported as pickle,Category.W,unused-import,Consider possible security implications associated with cPickle module.,HIGH,LOW
Jinja2-2.7.1/jinja2/_compat.py,59,Unable to import 'cPickle',Category.E,import-error,Consider possible security implications associated with cPickle module.,HIGH,LOW
Jinja2-2.7.1/jinja2/debug.py,29,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/debug.py,51,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/debug.py,253,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/debug.py,258,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/debug.py,335,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/parser.py,663,"Consider merging these comparisons with ""in"" to ""token_type in ('dot', 'lbracket')""",Category.R,consider-using-in,Possible hardcoded password: 'dot',MEDIUM,LOW
Jinja2-2.7.1/jinja2/parser.py,663,"Consider merging these comparisons with ""in"" to ""token_type in ('dot', 'lbracket')""",Category.R,consider-using-in,Possible hardcoded password: 'lbracket',MEDIUM,LOW
Jinja2-2.7.1/jinja2/bccache.py,160,Redefining built-in 'hash',Category.W,redefined-builtin,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
Jinja2-2.7.1/jinja2/environment.py,383,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/environment.py,917,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
Jinja2-2.7.1/jinja2/testsuite/regression.py,103,Line too long (109/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/regression.py,19,"Constant name ""env"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/regression.py,85,Redefining name 'env' from outer scope (line 19),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/regression.py,91,Redefining name 'env' from outer scope (line 19),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/regression.py,125,Redefining name 'env' from outer scope (line 19),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/regression.py,140,Redefining name 'env' from outer scope (line 19),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/regression.py,251,Redefining name 'env' from outer scope (line 19),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/security.py,90,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/debug.py,17,"Constant name ""env"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/loader.py,180,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/loader.py,116,Attribute 'reg_env' defined outside __init__,Category.W,attribute-defined-outside-init,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/loader.py,124,Attribute 'mod_env' defined outside __init__,Category.W,attribute-defined-outside-init,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/bytecode_cache.py,20,"Constant name ""env"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,24,"Constant name ""env"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,32,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,46,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,85,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,Using jinja2 templates with autoescape=False is dangerous and can lead to XSS. Ensure autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.,MEDIUM,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,204,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,214,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/api.py,225,Redefining name 'env' from outer scope (line 24),Category.W,redefined-outer-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Jinja2-2.7.1/jinja2/testsuite/utils.py,42,Access to a protected member _mapping of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/utils.py,42,Access to a protected member _mapping of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/utils.py,43,Access to a protected member _queue of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Jinja2-2.7.1/jinja2/testsuite/utils.py,43,Access to a protected member _queue of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
