filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
Kotti-1.3.1/kotti/tests/test_workflow.py,28,Instance of 'Dummy' has no '__acl__' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_workflow.py,52,Instance of 'Dummy' has no '__acl__' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_workflow.py,104,Instance of 'Dummy' has no 'state' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_workflow.py,109,Instance of 'Dummy' has no 'state' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,558,Line too long (101/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,578,Line too long (114/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,579,Line too long (114/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,580,Line too long (114/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,583,Line too long (110/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,586,Line too long (111/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Kotti-1.3.1/kotti/tests/test_functional.py,592,Line too long (120/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
