filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
Werkzeug-0.11.10/werkzeug/serving.py,207,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/_compat.py,36,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
Werkzeug-0.11.10/werkzeug/posixemulation.py,84,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/posixemulation.py,102,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/datastructures.py,2665,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/debug/tbtools.py,309,"Invalid variable name ""rv""",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
Werkzeug-0.11.10/werkzeug/debug/tbtools.py,480,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
Werkzeug-0.11.10/werkzeug/debug/tbtools.py,493,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/debug/console.py,180,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
Werkzeug-0.11.10/werkzeug/debug/__init__.py,167,"Invalid variable name ""h""",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
Werkzeug-0.11.10/werkzeug/debug/repr.py,260,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/test.py,507,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/test.py,524,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/contrib/lint.py,184,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/werkzeug/contrib/cache.py,734,Redefining built-in 'hash',Category.W,redefined-builtin,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
Werkzeug-0.11.10/examples/shorty/utils.py,28,"Invalid constant name ""jinja_env""",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Werkzeug-0.11.10/examples/couchy/models.py,29,No exception type(s) specified,Category.W,bare-except,"Try, Except, Continue detected.",HIGH,LOW
Werkzeug-0.11.10/examples/plnt/utils.py,38,"Invalid constant name ""jinja_env""",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
Werkzeug-0.11.10/examples/cupoftee/db.py,33,"Invalid variable name ""rv""",Category.C,invalid-name,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",HIGH,MEDIUM
Werkzeug-0.11.10/examples/cupoftee/db.py,15,"standard import ""from pickle import dumps, loads"" comes before ""import gdbm""",Category.C,wrong-import-order,Consider possible security implications associated with dumps module.,HIGH,LOW
Werkzeug-0.11.10/examples/cupoftee/db.py,75,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Werkzeug-0.11.10/tests/test_serving.py,108,"Invalid variable name ""r""",Category.C,invalid-name,"Requests call with verify=False disabling SSL certificate checks, security issue.",HIGH,HIGH
Werkzeug-0.11.10/tests/test_serving.py,121,"Invalid variable name ""r""",Category.C,invalid-name,"Requests call with verify=False disabling SSL certificate checks, security issue.",HIGH,HIGH
Werkzeug-0.11.10/tests/test_wrappers.py,128,"Comparison should be repr(req) == ""&lt;Request 'http://localhost/foobar' [GET]&gt;""",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,131,"Comparison should be repr(req) == ""&lt;Request 'http://localhost/\xd0\xbf\xd1\x80\xd0\xb8\xd0\xb2\xd0\xb5\xd1\x82' [GET]&gt;""",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,134,"Comparison should be repr(req) == ""&lt;Request 'http://localhost/\xd0\xbf\xd1\x80\xd0\xb8\xd0\xb2\xd0\xb5\xd1\x82' [GET]&gt;""",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,846,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,848,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,850,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,851,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,857,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,859,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,863,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,13,"standard import ""import pickle"" comes before ""import pytest""",Category.C,wrong-import-order,Consider possible security implications associated with pickle module.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,64,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Continue detected.",HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,314,Instance of 'BaseResponse' has no 'content_type' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,314,Function 'wsgi_application' has no 'content_type' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,618,Instance of 'BaseRequest' has no 'content_type' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,619,Instance of 'BaseRequest' has no 'mimetype' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,620,Instance of 'BaseRequest' has no 'mimetype_params' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,621,Instance of 'BaseRequest' has no 'content_length' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,622,Instance of 'BaseRequest' has no 'referrer' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,623,Instance of 'BaseRequest' has no 'date' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,624,Instance of 'BaseRequest' has no 'max_forwards' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,625,Instance of 'BaseRequest' has no 'pragma' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Werkzeug-0.11.10/tests/test_wrappers.py,626,Instance of 'BaseRequest' has no 'content_encoding' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
