filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
cinder-14.0.0/api-ref/source/conf.py,146,"Constant name ""html_last_updated_fmt"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/ibm/ibm_storage/certificate.py,62,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/ibm/ibm_storage/ds8k_proxy.py,912,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/ibm/ibm_storage/ds8k_proxy.py,925,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/ibm/ibm_storage/ds8k_proxy.py,1041,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/ibm/ibm_storage/ds8k_proxy.py,1050,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/fujitsu/eternus_dx/eternus_dx_common.py,1177,"Variable name ""m"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
cinder-14.0.0/cinder/volume/drivers/fujitsu/eternus_dx/eternus_dx_common.py,1472,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Continue detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/solidfire.py,598,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/zfssa/restclient.py,282,Access to a protected member _create_unverified_context of a client class,Category.W,protected-access,"By default, Python will create a secure, verified ssl context for use in such classes as HTTPSConnection. However, it still allows using an insecure context via the _create_unverified_context that reverts to the previous behavior that does not validate certificates or perform hostname checks.",HIGH,MEDIUM
cinder-14.0.0/cinder/volume/drivers/zfssa/zfssarest.py,1363,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/dell_emc/powermax/masking.py,949,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/dell_emc/powermax/utils.py,285,"Variable name ""m"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
cinder-14.0.0/cinder/volume/drivers/dell_emc/powermax/utils.py,302,"Variable name ""m"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,3519,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,3916,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4055,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4062,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4068,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4081,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4410,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4419,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
cinder-14.0.0/cinder/volume/drivers/hpe/hpe_3par_common.py,4539,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
