filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
cosmos-wfm-2.1.0/cosmos/__init__.py,19,Line too long (104/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/__init__.py,20,Line too long (112/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/core/cmd_fxn/signature.py,55,Line too long (102/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/core/cmd_fxn/signature.py,55,Undefined variable 'basestring',Category.E,undefined-variable,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_ge.py,200,Line too long (101/100),Category.C,line-too-long,subprocess call - check for execution of untrusted input.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_ge.py,200,Line too long (101/100),Category.C,line-too-long,Starting a process with a partial executable path,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_ge.py,1,Missing module docstring,Category.C,missing-docstring,Consider possible security implications associated with subprocess module.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_ge.py,200,Undefined variable 'unicode',Category.E,undefined-variable,subprocess call - check for execution of untrusted input.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_ge.py,200,Undefined variable 'unicode',Category.E,undefined-variable,Starting a process with a partial executable path,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/drm/drm_lsf.py,1,Missing module docstring,Category.C,missing-docstring,Consider possible security implications associated with subprocess module.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/job/JobManager.py,61,Undefined variable 'unicode',Category.E,undefined-variable,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/models/Cosmos.py,79,Line too long (126/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
cosmos-wfm-2.1.0/cosmos/models/Task.py,274,Line too long (105/100),Category.C,line-too-long,"subprocess call with shell=True identified, security issue.",HIGH,HIGH
