filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
futoin-cid-0.8.4/futoin/cid/util/executil.py,80,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,449,"Variable name ""e"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,62,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,449,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,449,Unused variable 'e',Category.W,unused-variable,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/mixins/service.py,191,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/util/versionutil.py,26,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/rvmtool.py,71,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/rvmtool.py,88,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/gittool.py,53,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
futoin-cid-0.8.4/futoin/cid/tool/gittool.py,60,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
