filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
gns3-gui-1.5.0/tests/test_project.py,214,Line too long (107/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,51,Access to a protected member _created_servers of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,52,Access to a protected member _closed of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,59,Access to a protected member _notifications_stream of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,87,Access to a protected member _created_servers of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,117,Access to a protected member _created_servers of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,149,Access to a protected member _created_servers of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_project.py,197,Access to a protected member _created_servers of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/gns3/modules/vpcs/__init__.py,257,Line too long (112/100),Category.C,line-too-long,subprocess call - check for execution of untrusted input.,HIGH,LOW
gns3-gui-1.5.0/tests/test_vm.py,79,Line too long (102/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_vm.py,109,Line too long (106/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gns3-gui-1.5.0/tests/test_vm.py,42,Access to a protected member _server of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
