filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
html5-0.0.9/html5lib/treewalkers/etree_lxml.py,181,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/treewalkers/etree_lxml.py,4,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
html5-0.0.9/html5lib/tests/support.py,31,"standard import ""import xml.etree.ElementTree as ElementTree"" should be placed before ""from html5lib import treebuilders, treewalkers, treeadapters""",Category.C,wrong-import-order,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
html5-0.0.9/html5lib/tests/support.py,52,Unused lxml.etree imported as lxml,Category.W,unused-import,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_encoding.py,95,Line too long (109/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_encoding.py,17,Comparison should be stream.charEncoding[0].name == u'utf-8',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_encoding.py,26,Comparison should be stream.charEncoding[0].name == u'windows-1252',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_encoding.py,29,Comparison should be p.documentEncoding == u'utf-8',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_meta.py,31,Comparison should be r == 'Input:\n1\nExpected:\n2\nRecieved\n3\n',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_meta.py,34,Comparison should be r == u'Input:\n1\nExpected:\n2\nRecieved\n3\n',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/_inputstream.py,333,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_serializer.py,77,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/tests/test_serializer.py,100,Line too long (118/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/_utils.py,28,"Constant name ""_x"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5-0.0.9/html5lib/_utils.py,31,"Constant name ""_x"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5-0.0.9/html5lib/treebuilders/etree_lxml.py,25,"first party import ""import lxml.etree as etree"" should be placed before ""from . import base""",Category.C,wrong-import-order,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
html5-0.0.9/html5lib/treebuilders/etree_lxml.py,25,Unable to import 'lxml.etree',Category.E,import-error,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
html5-0.0.9/html5lib/serializer.py,169,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/serializer.py,176,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5-0.0.9/html5lib/serializer.py,11,"standard import ""from xml.sax.saxutils import escape"" should be placed before ""from six import text_type""",Category.C,wrong-import-order,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
