filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
html5lib-0.9999999/html5lib/tests/test_sanitizer.py,40,Line too long (140/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_sanitizer.py,44,Line too long (157/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_sanitizer.py,40,"Comparison should be sanitize_html(u'&lt;p&gt;&amp;#x1d4b5; &amp;#x1d538;&lt;/p&gt;') == u'&lt;html:p xmlns:html=""http://www.w3.org/1999/xhtml""&gt;\U0001d4b5 \U0001d538&lt;/html:p&gt;'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_sanitizer.py,44,"Comparison should be sanitize_html(u'&lt;p&gt;&lt;a href=""/example.com""&gt;&lt;/a&gt;&lt;/p&gt;') == u'&lt;html:p xmlns:html=""http://www.w3.org/1999/xhtml""&gt;&lt;html:a href=""/example.com"" /&gt;&lt;/html:p&gt;'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_treewalkers.py,21,Redefining name 'COMMENT' from outer scope (line 88),Category.W,redefined-outer-name,"Using START_ELEMENT to parse untrusted XML data is known to be vulnerable to XML attacks. Replace START_ELEMENT with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_parser.py,47,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_parser.py,71,"Bad indentation. Found 12 spaces, expected 8",Category.W,bad-indentation,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/inputstream.py,189,Line too long (107/100),Category.C,line-too-long,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/inputstream.py,339,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/inputstream.py,40,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/inputstream.py,185,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/inputstream.py,189,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/treewalkers/lxmletree.py,171,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/treewalkers/lxmletree.py,4,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_serializer.py,78,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/tests/test_serializer.py,99,Line too long (118/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/utils.py,25,"Constant name ""_x"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/utils.py,28,"Constant name ""_x"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/utils.py,25,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/utils.py,28,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
html5lib-0.9999999/html5lib/treebuilders/etree_lxml.py,24,"first party import ""import lxml.etree as etree"" should be placed before ""from . import _base""",Category.C,wrong-import-order,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
html5lib-0.9999999/html5lib/treebuilders/etree_lxml.py,94,Access to a protected member _Element of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/treebuilders/etree_lxml.py,24,Unable to import 'lxml.etree',Category.E,import-error,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
html5lib-0.9999999/html5lib/serializer/htmlserializer.py,158,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/serializer/htmlserializer.py,165,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
html5lib-0.9999999/html5lib/serializer/htmlserializer.py,12,"standard import ""from xml.sax.saxutils import escape"" should be placed before ""from six import text_type""",Category.C,wrong-import-order,"Using escape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace escape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
html5lib-0.9999999/html5lib/tests/support.py,45,Unused lxml.etree imported as lxml,Category.W,unused-import,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
