filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
jose-0.2.2/jose.py,19,"Import ""from Crypto.Hash import HMAC, SHA256, SHA384, SHA512"" should be placed at the top of the module",Category.C,wrong-import-position,The pyCrypto library and its module HMAC are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,20,"Import ""from Crypto.Cipher import PKCS1_OAEP, AES"" should be placed at the top of the module",Category.C,wrong-import-position,The pyCrypto library and its module PKCS1_OAEP are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,21,"Import ""from Crypto.PublicKey import RSA"" should be placed at the top of the module",Category.C,wrong-import-position,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,22,"Import ""from Crypto.Random import get_random_bytes"" should be placed at the top of the module",Category.C,wrong-import-position,The pyCrypto library and its module get_random_bytes are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,23,"Import ""from Crypto.Signature import PKCS1_v1_5 as PKCS1_v1_5_SIG"" should be placed at the top of the module",Category.C,wrong-import-position,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,19,Unable to import 'Crypto.Hash',Category.E,import-error,The pyCrypto library and its module HMAC are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,20,Unable to import 'Crypto.Cipher',Category.E,import-error,The pyCrypto library and its module PKCS1_OAEP are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,21,Unable to import 'Crypto.PublicKey',Category.E,import-error,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,22,Unable to import 'Crypto.Random',Category.E,import-error,The pyCrypto library and its module get_random_bytes are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
jose-0.2.2/jose.py,23,Unable to import 'Crypto.Signature',Category.E,import-error,The pyCrypto library and its module PKCS1_v1_5 are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
