filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
numpy-1.16.0/setup.py,26,"Import ""import subprocess"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
numpy-1.16.0/setup.py,206,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
numpy-1.16.0/numpy/f2py/f90mod_rules.py,183,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/lib/utils.py,554,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/lib/tests/test_polynomial.py,256,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,1210,"Variable name ""v"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,2105,"Variable name ""r"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,2587,"Variable name ""l"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,2596,"Variable name ""l"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,3117,"Variable name ""c"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,3235,"Variable name ""v"" doesn't conform to snake_case naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,1049,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,1055,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,1065,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,1210,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,1803,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,2105,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,2117,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,2159,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,2195,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
numpy-1.16.0/numpy/f2py/crackfortran.py,2486,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
numpy-1.16.0/numpy/f2py/crackfortran.py,2514,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
