filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
tendenci-7.5.2/tendenci/apps/profiles/utils.py,213,Unused variable 'x',Category.W,unused-variable,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
tendenci-7.5.2/tendenci/apps/site_settings/views.py,45,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
tendenci-7.5.2/tendenci/apps/site_settings/views.py,93,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
tendenci-7.5.2/tendenci/apps/social_auth/backends/facebook.py,74,Using deprecated method parse_qs(),Category.W,deprecated-method,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/directories/forms.py,39,Line too long (120/100),Category.C,line-too-long,Potential XSS on mark_safe function.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/directories/forms.py,39,Line too long (120/100),Category.C,line-too-long,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/pages/forms.py,23,Line too long (108/100),Category.C,line-too-long,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/pages/forms.py,24,Line too long (110/100),Category.C,line-too-long,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/pages/forms.py,134,Line too long (148/100),Category.C,line-too-long,Potential XSS on mark_safe function.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/pages/forms.py,134,Line too long (148/100),Category.C,line-too-long,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,HIGH,MEDIUM
tendenci-7.5.2/tendenci/apps/articles/views.py,1,Missing module docstring,Category.C,missing-docstring,Consider possible security implications associated with subprocess module.,HIGH,LOW
tendenci-7.5.2/tendenci/apps/memberships/views.py,8,"standard import ""import subprocess"" should be placed before ""from dateutil.parser import parse""",Category.C,wrong-import-order,Consider possible security implications associated with subprocess module.,HIGH,LOW
tendenci-7.5.2/tendenci/apps/perms/utils.py,355,Line too long (120/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
tendenci-7.5.2/tendenci/apps/profiles/models.py,470,Line too long (113/100),Category.C,line-too-long,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
