filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
zhmcclient-0.20.0/examples/lpar_operations.py,37,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/examples/api_version.py,35,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/tests/unit/zhmcclient/test_session.py,84,Access to a protected member _password of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/tests/unit/zhmcclient/test_session.py,175,Access to a protected member _password of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/tests/unit/zhmcclient/test_storage_group.py,495,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/tests/unit/zhmcclient_mock/test_urihandler.py,390,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/tests/unit/zhmcclient_mock/test_urihandler.py,1704,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/tests/unit/zhmcclient_mock/test_urihandler.py,2157,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/zhmcclient/_user.py,268,Access to a protected member _name_prop of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/zhmcclient/_user_role.py,274,Access to a protected member _name_prop of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/examples/metrics.py,35,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/examples/partition_lifecycle.py,37,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/zhmcclient/_lpar.py,217,Access to a protected member _name_prop of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zhmcclient-0.20.0/examples/list_storage_groups.py,35,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/examples/list_cpc_and_lpar.py,35,"Constant name ""hmccreds"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,HIGH,MEDIUM
zhmcclient-0.20.0/tests/unit/zhmcclient_mock/test_idpool.py,97,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
