I,R,C,W,E,F
0,40,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,105,10,1,0
19,59,464,174,10,0
0,0,0,0,1,0
0,0,63,6,0,0
0,1,3,1,0,0
2,21,206,19,5,0
0,0,7,0,0,0
0,2,51,15,1,0
10,1,33,1,6,0
0,0,132,88,2,0
0,0,39,107,2,0
0,0,54,99,2,0
0,0,125,90,2,0
0,0,29,50,8,0
0,0,233,94,2,0
0,0,81,98,2,0
0,0,30,37,6,0
0,0,40,97,2,0
0,0,51,100,2,0
0,0,94,89,2,0
0,0,94,89,2,0
0,0,107,89,2,0
0,0,107,89,2,0
0,0,160,88,2,0
0,0,145,82,2,0
0,0,1,0,2,0
0,0,3,0,0,0
0,2,22,0,8,0
0,0,0,0,1,0
0,0,5,1,0,0
0,0,0,0,1,0
0,3,109,0,0,0
0,0,0,0,1,0
0,0,99,5,0,0
0,0,0,0,1,0
0,0,18,4,0,0
0,0,28,5,0,0
0,0,42,11,0,0
0,0,35,6,0,0
0,0,13,0,0,0
0,0,9,4,0,0
0,0,0,0,1,0
0,1,82,8,0,0
0,0,13,3,0,0
0,0,24,2,0,0
0,0,0,0,1,0
0,0,34,4,0,0
0,0,0,0,1,0
