I,R,C,W,E,F
0,0,19,3,0,0
0,0,2,0,2,0
0,0,3,0,10,0
0,0,4,0,0,0
0,0,3,1,2,0
0,0,3,0,0,0
0,1,10,0,5,0
0,0,16,0,2,0
0,1,7,1,2,0
0,0,2,2,4,0
0,0,14,0,4,0
0,0,5,0,2,0
0,1,7,0,2,0
0,1,1,0,0,0
0,0,17,2,1,0
0,0,8,2,1,0
0,1,53,5,19,0
0,0,4,0,2,0
0,4,22,0,9,0
0,1,8,1,4,0
0,1,5,0,4,0
0,1,18,0,7,0
0,2,26,1,4,0
0,3,26,4,11,0
0,1,59,0,6,0
0,2,28,0,8,0
0,2,41,0,5,0
0,1,16,0,25,0
0,1,9,0,1,0
0,0,11,0,2,0
0,2,31,7,17,0
0,1,36,0,8,0
0,4,56,15,38,0
0,1,15,0,24,0
0,0,46,0,6,0
0,2,34,0,23,0
0,2,18,0,7,0
0,0,2,0,1,0
0,1,7,0,3,0
0,2,7,0,6,0
0,6,29,10,16,0
0,4,15,1,11,0
0,1,52,5,9,0
0,0,10,3,7,0
0,0,6,0,0,0
0,5,16,1,11,0
0,5,15,6,3,0
0,2,5,2,5,0
0,0,8,2,5,0
0,1,1,0,7,0
0,1,2,0,1,0
0,3,44,13,17,0
0,8,103,15,16,0
0,2,19,20,3,0
0,1,14,6,2,0
0,2,19,8,9,0
0,0,28,10,23,0
0,17,83,13,32,0
0,4,22,21,8,0
0,4,9,3,12,0
0,3,9,1,4,0
0,5,61,5,18,0
0,0,7,1,0,0
0,4,32,13,18,0
0,0,3,1,5,0
0,10,77,9,10,0
0,2,19,0,4,0
0,3,16,0,1,0
0,0,9,0,1,0
0,1,16,4,2,0
0,0,16,0,1,0
0,1,22,0,3,0
0,0,26,7,1,0
0,0,22,1,1,0
0,1,27,4,1,0
0,0,23,0,2,0
0,0,21,0,1,0
0,1,20,1,4,0
0,0,92,16,2,0
0,3,149,29,1,0
0,4,113,15,4,0
0,0,10,5,1,0
0,6,104,10,12,0
0,3,41,0,9,0
0,2,12,3,7,0
0,0,79,1,11,0
0,2,25,8,5,0
0,0,59,5,2,0
0,5,78,11,1,0
0,1,10,3,5,0
0,0,5,2,7,0
0,1,10,1,2,0
0,1,57,5,23,0
0,0,3,0,3,0
0,0,5,1,10,0
0,0,7,2,9,0
0,1,4,0,3,0
0,1,9,0,9,0
0,0,14,0,4,0
0,1,8,0,3,0
0,1,1,0,0,0
0,1,12,1,7,0
0,0,15,0,4,0
0,1,12,1,7,0
0,5,74,0,23,0
0,0,5,0,1,0
0,2,19,0,7,0
0,2,27,0,5,0
0,1,9,0,1,0
0,0,15,0,2,0
0,3,26,0,4,0
0,2,27,0,4,0
0,3,25,0,4,0
0,0,6,3,9,0
0,1,6,0,4,0
0,1,11,3,0,0
0,2,18,1,9,0
0,1,9,4,10,0
0,3,7,0,5,0
0,5,13,6,14,0
0,4,13,2,11,0
0,2,2,0,4,0
0,3,30,1,46,0
0,2,3,0,4,0
0,1,5,2,10,0
0,2,41,0,6,0
0,4,2,0,7,0
0,0,3,1,5,0
0,3,42,5,20,0
0,2,10,0,7,0
0,3,18,4,14,0
0,8,196,16,38,0
0,8,38,11,29,0
0,4,7,2,6,0
0,3,26,0,7,0
0,5,50,12,29,0
0,6,61,13,30,0
0,0,10,0,1,0
0,3,89,0,37,0
0,1,22,5,4,0
0,0,6,0,1,0
0,0,7,0,0,0
0,4,29,5,12,0
0,3,37,12,2,0
0,1,19,2,2,0
0,3,38,5,2,0
0,4,76,2,5,0
0,0,12,0,4,0
0,0,14,0,2,0
0,4,63,0,10,0
0,1,139,1,33,0
0,2,22,6,15,0
0,4,41,4,4,0
0,1,17,1,5,0
0,1,12,1,4,0
0,1,5,0,2,0
0,5,96,10,24,0
0,6,38,4,28,0
0,0,19,1,7,0
0,0,2,0,3,0
0,1,2,1,0,0
0,1,6,3,3,0
0,2,7,0,12,0
0,0,6,0,10,0
0,0,1,2,2,0
0,1,46,3,12,0
0,2,4,0,1,0
0,3,61,1,9,0
0,4,16,1,14,0
0,0,20,0,0,0
0,0,12,1,7,0
0,1,4,2,5,0
0,3,6,2,8,0
0,1,2,0,1,0
0,1,17,3,11,0
0,1,11,4,0,0
0,1,4,2,5,0
0,2,18,0,2,0
0,0,9,0,0,0
0,3,24,0,12,0
0,2,13,0,8,0
0,2,18,0,11,0
0,0,5,0,3,0
0,0,26,4,17,0
0,0,14,3,7,0
0,0,6,2,7,0
0,0,9,2,3,0
0,0,5,4,5,0
0,82,5,1,2,0
0,1,1,0,2,0
0,2,25,9,10,0
0,2,8,2,0,0
0,7,107,0,31,0
0,0,6,0,0,0
