I,R,C,W,E,F
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,3,1,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,0,3,0,0,0
0,0,33,2,1,0
0,1,17,5,1,0
0,0,15,0,0,0
0,1,23,4,0,0
0,8,71,11,3,0
0,4,49,2,0,0
0,11,23,12,0,0
0,1,8,2,0,0
0,3,19,2,0,0
0,1,4,2,0,0
0,0,1,0,0,0
0,1,8,1,0,0
0,0,8,0,0,0
0,7,20,9,2,0
0,0,15,0,1,0
0,0,5,0,0,0
0,9,12,3,0,0
0,4,16,2,0,0
0,0,4,2,0,0
0,0,5,0,0,0
0,0,5,0,0,0
0,2,9,1,0,0
0,1,4,4,0,0
0,1,2,0,0,0
0,0,1,0,0,0
0,0,11,1,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,20,1,4,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,2,0,1,0
0,1,31,23,1,0
0,4,391,159,11,0
0,0,7,1,1,0
0,0,188,52,26,0
0,7,24,19,5,0
0,2,36,0,1,0
0,2,6,3,1,0
0,0,43,26,25,0
0,0,10,6,1,0
0,52,216,40,3,0
0,1,12,9,9,0
0,0,21,10,1,0
0,1,25,9,1,0
0,0,31,16,1,0
0,0,33,22,1,0
0,0,6,2,0,0
0,0,108,24,35,0
0,0,70,19,1,0
0,0,43,20,0,0
0,10,43,2,1,0
