I,R,C,W,E,F
0,0,2,0,0,0
0,3,7,2,0,0
0,26,122,98,1,0
0,4,19,4,19,0
0,7,40,11,1,0
0,11,108,58,3,0
0,14,66,48,6,0
0,3,8,13,2,0
0,0,2,0,0,0
0,2,42,5,0,0
0,1,3,0,0,0
0,4,23,3,2,0
0,15,64,30,3,0
0,0,1,0,0,0
0,2,33,15,22,0
0,6,40,108,9,0
0,7,22,11,10,0
0,1,7,2,0,0
0,2,8,5,0,0
0,0,1,0,0,0
0,24,70,37,5,0
0,3,25,3,0,0
0,2,4,1,0,0
0,8,17,12,1,0
0,1,3,1,1,0
0,33,71,66,3,0
0,12,22,11,1,0
0,14,20,30,5,0
0,13,27,19,1,0
0,21,34,22,4,0
0,27,56,40,2,0
0,23,80,19,30,0
0,15,31,33,6,0
0,6,6,6,2,0
0,5,26,4,3,0
0,4,17,5,1,0
0,1,14,8,1,0
0,1,6,0,0,0
0,0,9,3,0,0
0,0,1,2,0,0
0,2,33,5,0,0
0,13,56,41,3,0
0,62,49,10,0,0
0,0,13,0,0,0
