I,R,C,W,E,F
0,0,44,2,1,0
0,0,4,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,22,6,9,0
0,0,0,0,1,0
0,0,3,0,3,0
0,0,0,0,1,0
0,2,2,2,0,0
0,3,48,13,9,0
0,0,69,1,0,0
0,4,12,4,2,0
0,27,136,23,3,0
0,9,24,24,2,0
0,0,2,2,0,0
0,26,22,57,2,0
0,2,2,2,2,0
0,41,14,7,1,0
0,3,31,6,1,0
0,21,37,15,0,0
0,5,8,10,2,0
0,2,0,0,0,0
0,4,15,4,62,0
0,1,2,0,0,0
0,10,41,3,2,0
0,12,8,13,2,0
0,3,13,9,1,0
0,0,3,2,0,0
0,2,23,6,0,0
0,0,1,0,0,0
0,13,44,8,0,0
0,0,5,1,0,0
0,25,52,1,0,0
0,0,6,2,0,0
0,0,1,1,0,0
0,32,65,6,3,0
0,65,84,17,3,0
0,6,36,1,0,0
0,16,24,11,1,0
0,70,116,34,2,0
0,2,25,11,0,0
0,15,38,8,0,0
0,9,32,4,0,0
0,10,14,2,0,0
0,5,12,9,0,0
0,9,35,8,0,0
0,2,3,0,0,0
0,4,22,27,5,0
0,0,0,0,1,0
0,0,4,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
