I,R,C,W,E,F
0,0,31,13,7,0
0,2,14,12,1,0
0,0,21,4,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,3,110,91,2,0
0,6,40,2,6,0
0,0,24,5,0,0
0,19,393,18,6,0
0,7,53,5,0,0
0,2,7,5,0,0
0,3,0,0,1,0
0,0,4,3,0,0
0,5,13,10,5,0
0,0,7,4,0,0
0,2,32,6,0,0
0,8,158,4,4,0
0,8,98,11,0,0
0,4,215,3,6,0
0,4,87,6,4,0
0,4,161,19,28,0
0,19,128,43,1,0
0,14,228,24,0,0
0,4,55,11,0,0
0,41,586,57,5,0
0,0,38,6,0,0
0,4,45,5,1,0
0,3,26,2,0,0
0,0,15,0,0,0
0,0,4,2,2,0
0,5,15,0,1,0
0,0,17,0,0,0
0,0,1,0,0,0
0,0,6,0,0,0
0,0,6,0,0,0
0,15,68,8,4,0
0,0,9,1,1,0
0,7,89,12,0,0
0,14,45,2,0,0
0,5,11,3,0,0
0,25,77,2,0,0
0,8,37,17,2,0
0,18,68,2,0,0
0,10,70,3,0,0
0,7,127,10,231,0
0,6,28,7,0,0
0,3,53,14,0,0
0,27,85,1,0,0
0,12,36,0,0,0
0,19,219,14,0,0
0,5,16,3,0,0
0,0,4,0,0,0
0,5,18,1,0,0
