I,R,C,W,E,F
0,0,29,1,1,0
0,0,9,0,0,0
0,0,3,37,0,0
0,0,1,0,0,0
0,0,3,8,4,0
0,3,7,3,2,0
0,0,8,0,2,0
0,4,23,5,7,0
0,0,2,0,2,0
0,0,3,3,1,0
0,1,4,0,6,0
0,0,4,2,1,0
0,2,4,1,7,0
0,1,5,0,4,0
0,0,2,0,2,0
0,0,5,2,3,0
0,2,5,2,2,0
0,0,3,0,2,0
0,11,22,3,7,0
0,2,4,2,1,0
0,9,6,3,7,0
0,2,4,3,1,0
0,1,3,0,2,0
0,1,7,3,1,0
0,1,3,0,1,0
0,9,15,0,3,0
0,3,8,0,3,0
0,1,18,0,2,0
0,1,4,0,1,0
0,3,9,2,4,0
0,0,3,3,2,0
0,0,3,0,1,0
0,2,3,0,1,0
0,0,3,9,1,0
0,2,5,4,6,0
0,0,4,6,6,0
0,0,1,0,0,0
0,0,7,7,5,0
0,2,6,1,4,0
0,2,8,5,6,0
0,0,1,3,0,0
0,1,3,3,6,0
0,1,4,0,1,0
0,1,3,1,3,0
0,1,11,8,3,0
0,1,2,0,1,0
0,0,1,0,0,0
0,8,20,12,30,0
0,2,3,1,3,0
0,3,3,0,5,0
0,2,11,6,3,0
0,0,63,0,2,0
0,0,2,0,0,0
0,6,12,10,8,0
0,9,13,6,4,0
0,0,1,0,3,0
0,4,8,1,5,0
0,1,13,3,6,0
0,2,16,2,9,0
0,4,23,12,14,0
0,19,13,7,12,0
0,1,6,0,2,0
0,1,4,0,2,0
0,17,41,16,14,0
0,2,3,0,0,0
0,3,3,0,2,0
0,11,22,19,18,0
0,6,48,35,20,0
0,3,4,0,1,0
0,0,2,1,2,0
0,0,8,5,15,0
0,3,16,6,8,0
0,0,3,0,1,0
0,0,4,0,4,0
0,6,24,6,9,0
0,1,18,0,1,0
0,1,3,1,1,0
0,1,4,1,1,0
0,1,3,0,1,0
0,1,3,0,1,0
0,9,22,4,3,0
0,1,2,0,2,0
0,0,3,0,1,0
0,1,5,2,5,0
0,2,3,0,1,0
0,1,5,1,1,0
0,1,7,0,1,0
0,1,3,1,1,0
0,5,17,5,9,0
0,0,5,0,2,0
0,2,3,0,1,0
0,0,2,0,0,0
0,1,6,1,5,0
0,0,5,0,3,0
0,0,5,5,5,0
0,4,8,6,6,0
0,0,2,0,1,0
0,1,13,0,2,0
0,1,3,1,1,0
0,5,16,7,8,0
0,0,6,0,4,0
0,0,7,2,1,0
0,1,2,0,3,0
0,0,3,1,0,0
0,0,6,1,5,0
0,0,2,0,1,0
0,1,6,2,10,0
0,0,1,0,0,0
0,1,6,6,4,0
0,2,3,1,1,0
0,0,2,3,1,0
0,0,1,1,0,0
0,0,4,0,1,0
0,2,1,2,0,0
0,0,2,3,1,0
0,4,3,0,3,0
0,1,15,0,1,0
0,1,4,1,1,0
0,1,4,0,1,0
0,12,16,22,5,0
0,0,5,3,3,0
0,3,5,4,5,0
0,3,22,13,13,0
0,3,4,0,1,0
0,0,2,0,2,0
0,0,6,1,7,0
0,2,19,8,8,0
0,0,2,0,1,0
0,0,4,1,2,0
0,0,4,0,4,0
0,0,1,0,1,0
0,6,18,4,4,0
0,1,5,1,5,0
0,0,0,0,1,0
0,0,4,0,3,0
0,0,2,0,1,0
0,2,4,1,2,0
0,2,1,0,1,0
0,1,11,0,1,0
0,5,17,3,8,0
0,0,3,0,1,0
0,0,6,1,5,0
0,1,1,0,3,0
0,0,3,0,4,0
0,2,10,2,3,0
0,1,3,1,1,0
0,0,1,0,0,0
0,4,26,4,5,0
0,3,2,0,6,0
0,1,5,1,5,0
0,0,3,0,1,0
0,3,8,6,5,0
0,0,1,0,1,0
0,0,1,0,3,0
0,3,9,4,8,0
0,1,2,2,2,0
0,0,5,4,7,0
0,2,3,3,8,0
0,63,4,4,0,0
