I,R,C,W,E,F
0,0,3,1159,1159,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,26,0,0,0
0,0,2,0,0,0
0,2,4,0,2,0
0,2,14,0,0,0
0,1,0,0,0,0
0,2,3,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,4,0,2,0
0,2,5,1,2,0
0,1,3,0,2,0
0,1,4,1,1,0
0,1,5,1,1,0
0,1,8,1,4,0
0,1,3,1,2,0
0,1,8,0,0,0
0,1,3,0,1,0
0,0,3,0,2,0
0,1,5,11,2,0
0,0,3,0,1,0
0,1,2,0,1,0
0,0,2,1,0,0
0,0,4,0,0,0
0,6,9,0,4,0
0,0,2,0,0,0
0,1,4,0,2,0
0,1,2,0,1,0
0,0,10,2,3,0
0,0,2,0,1,0
0,3,15,1,1,0
0,4,3,3,2,0
0,0,2,0,1,0
0,1,9,0,2,0
0,1,24,0,3,0
0,0,3,0,1,0
0,0,9,2,1,0
0,0,2,0,1,0
0,2,6,1,2,0
0,1,3,0,6,0
0,3,7,1,1,0
0,0,1,0,0,0
0,2,5,1,1,0
0,5,18,7,3,0
0,10,30,5,10,0
0,1,1,0,0,0
0,0,7,1,5,0
0,0,2,1,0,0
0,2,4,0,2,0
0,2,3,0,3,0
0,2,3,0,1,0
0,0,1,0,0,0
0,9,25,4,5,0
0,1,2,2,1,0
0,2,2,2,2,0
0,1,3,2,1,0
0,1,3,0,5,0
0,1,5,1,1,0
0,1,8,1,1,0
0,1,3,0,2,0
0,1,3,0,1,0
0,1,5,1,1,0
0,1,5,1,1,0
0,3,25,0,5,0
0,2,13,0,5,0
0,9,16,1,2,0
0,0,4,1,1,0
0,1,9,0,1,0
0,0,7,0,0,0
0,0,7,0,3,0
0,0,4,4,1,0
0,0,6,0,4,0
0,1,2,1,3,0
0,0,5,0,0,0
0,0,5,0,1,0
0,0,2,0,1,0
0,0,3,0,0,0
0,1,3,0,0,0
0,3,12,1,4,0
0,0,2,0,3,0
0,8,10,0,3,0
0,0,2,0,0,0
0,2,4,0,2,0
0,1,2,0,1,0
0,0,3,1,3,0
0,3,9,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,5,13,4,3,0
0,1,3,0,1,0
0,0,11,0,0,0
0,1,3,0,3,0
0,0,10,0,0,0
0,4,10,0,3,0
0,0,2,0,1,0
0,2,5,0,1,0
0,0,5,0,1,0
0,1,7,0,2,0
0,0,2,0,1,0
0,2,5,2,3,0
0,1,4,0,0,0
0,0,5,0,3,0
0,0,3,2,2,0
0,2,4,0,1,0
0,3,12,0,4,0
0,1,2,0,1,0
0,1,2,0,1,0
0,0,3,0,2,0
0,4,19,0,1,0
0,1,5,1,1,0
0,3,12,0,1,0
0,0,2,0,0,0
0,5,13,1,4,0
0,0,14,3,7,0
0,3,2,1,2,0
0,3,7,0,2,0
0,0,5,0,3,0
0,0,4,0,0,0
0,3,3,0,1,0
0,2,3,0,1,0
0,2,3,1,1,0
0,1,3,0,1,0
0,1,5,1,1,0
0,0,6,0,0,0
0,1,2,0,1,0
0,0,3,0,0,0
0,2,5,2,0,0
0,1,7,6,2,0
0,2,3,1,3,0
0,3,8,0,5,0
0,0,4,0,1,0
0,1,7,0,3,0
0,0,2,0,3,0
0,0,5,0,2,0
0,0,4,0,1,0
0,1,4,0,1,0
0,1,4,1,3,0
0,0,3,0,2,0
0,0,3,0,2,0
0,0,4,0,1,0
0,0,3,0,1,0
0,1,4,0,0,0
0,0,2,0,0,0
0,3,5,1,1,0
0,0,7,0,6,0
0,0,3,11,0,0
0,0,2,1,1,0
0,0,30,22,5,0
0,2,21,19,3,0
0,0,3,0,0,0
0,0,2,0,1,0
0,0,5,0,1,0
0,0,2,0,0,0
0,3,9,3,2,0
0,0,4,0,2,0
0,1,2,0,2,0
0,1,10,0,5,0
0,0,6,0,4,0
0,1,8,0,4,0
0,1,4,0,2,0
0,2,4,0,2,0
0,0,3,1,4,0
0,0,3,0,4,0
0,1,3,0,2,0
0,0,5,0,1,0
0,0,4,1,1,0
0,0,3,0,2,0
0,1,5,1,5,0
0,2,5,0,2,0
0,0,10,0,3,0
0,3,16,0,3,0
0,1,8,0,3,0
0,4,23,1,5,0
0,1,2,0,2,0
0,1,4,0,2,0
0,1,6,0,1,0
0,0,5,1,0,0
0,1,9,4,7,0
0,1,3,0,2,0
0,0,3,0,0,0
