I,R,C,W,E,F
0,1,7,0,1,0
0,0,1,0,0,0
0,5,41,2,2,0
0,1,9,26,2,0
0,0,14,52,0,0
0,3,66,6,0,0
0,3,52,24,1,0
0,1,7,0,0,0
0,3,7,3,2,0
0,0,12,0,0,0
0,9,28,3,5,0
0,1,6,3,6,0
0,6,8,5,4,0
0,2,7,6,2,0
0,2,13,4,2,0
0,2,41,13,0,0
0,4,34,8,1,0
0,2,9,3,2,0
0,3,17,2,1,0
0,0,14,21,1,0
0,2,10,2,1,0
0,0,2,5,0,0
0,3,59,14,1,0
0,0,0,1,0,0
0,0,1,0,0,0
0,1,4,3,3,0
0,10,44,21,0,0
0,7,33,14,1,0
0,8,20,8,3,0
0,17,51,9,13,0
0,3,16,2,4,0
0,1,6,1,2,0
0,0,30,80,14,0
0,32,67,40,5,0
0,2,11,3,1,0
0,2,8,3,0,0
0,3,57,8,2,0
0,9,440,48,8,0
0,3,112,5,0,0
0,4,63,3,2,0
0,2,3,1,0,0
0,0,1,10,0,0
0,0,1,13,0,0
0,2,37,4,0,0
0,3,17,1,2,0
0,4,15,2,1,0
0,2,51,3,0,0
0,0,7,1,0,0
0,5,9,5,0,0
0,3,12,1,0,0
0,4,16,5,0,0
0,2,23,5,3,0
0,1,3,4,0,0
0,6,45,13,1,0
0,3,24,7,0,0
0,9,39,18,3,0
0,40,1134,59,1,0
0,2,54,5,0,0
0,0,5,0,0,0
0,2,2,2,0,0
0,0,20,2,0,0
0,4,174,4,0,0
0,31,127,34,3,0
0,0,8,2,0,0
0,4,13,0,0,0
0,0,2,1,0,0
0,0,8,1,0,0
0,3,177,45,1,0
0,5,59,5,0,0
0,0,12,5,0,0
0,2,11,1,0,0
0,3,23,2,3,0
0,2,61,3,4,0
0,21,64,29,11,0
0,2,49,19,3,0
0,1,8,0,0,0
0,0,1,7,0,0
0,8,47,23,1,0
0,2,25,10,0,0
0,0,23,0,1,0
0,0,36,63,0,0
0,1,38,85,2,0
0,0,9,43,1,0
0,0,13,46,0,0
0,0,213,7,0,0
0,0,5,47,1,0
0,0,16,46,0,0
0,2,34,15,0,0
0,0,49,51,1,0
0,0,9,12,0,0
0,0,71,137,0,0
0,0,5,43,0,0
0,0,126,26,73,0
0,0,7,2,0,0
0,0,7,51,0,0
0,11,3,0,0,0
0,3,28,52,1,0
0,0,6,61,2,0
0,0,5,49,0,0
0,0,15,58,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,0,3,1,0,0
0,0,3,1,0,0
0,0,3,1,0,0
