I,R,C,W,E,F
0,1,7,0,3,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,7,26,2,0
0,0,14,52,7,0
0,0,0,0,1,0
0,3,51,24,3,0
0,1,6,0,0,0
0,3,7,3,6,0
0,0,11,0,0,0
0,9,28,7,9,0
0,0,0,0,1,0
0,6,8,5,4,0
0,3,6,5,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,9,3,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,10,3,3,0
0,0,2,1,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,7,31,13,2,0
0,9,19,8,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,8,2,1,0
0,4,56,4,13,0
0,9,439,45,12,0
0,0,0,0,1,0
0,4,58,3,8,0
0,2,3,1,0,0
0,0,1,10,0,0
0,0,1,1,2,0
0,3,35,3,1,0
0,3,17,1,4,0
0,0,0,0,1,0
0,2,51,3,1,0
0,0,6,2,1,0
0,6,10,4,4,0
0,3,12,1,0,0
0,4,16,3,6,0
0,0,0,0,1,0
0,2,3,4,0,0
0,6,45,14,6,0
0,3,24,3,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,0,0,0
0,3,2,2,2,0
0,0,20,2,2,0
0,4,172,4,15,0
0,0,0,0,1,0
0,0,7,1,0,0
0,4,13,2,0,0
0,0,2,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,11,3,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,49,16,7,0
0,2,8,0,1,0
0,0,1,7,0,0
0,0,0,0,1,0
0,3,25,10,2,0
0,3,23,0,0,0
0,0,36,63,6,0
0,0,0,0,1,0
0,0,9,2,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,6,5,0
0,0,16,5,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,1,3,0
0,0,126,26,73,0
0,0,7,1,7,0
0,0,7,4,7,0
0,0,3,0,2,0
0,0,0,0,1,0
0,0,7,22,4,0
0,0,5,9,3,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,0,3,1,0,0
0,0,3,1,0,0
0,0,3,1,0,0
