I,R,C,W,E,F
0,0,1,0,0,0
0,1,4,1,2,0
0,0,15,2,0,0
0,2,3,0,1,0
0,0,1,0,0,0
0,0,2,0,0,0
0,11,47,28,6,0
0,1,1,0,0,0
0,0,19,8,1,0
0,8,37,8,4,0
0,3,0,6,2,0
0,22,76,21,6,0
0,8,44,19,1,0
0,9,35,21,0,0
0,0,1,4,0,0
0,11,36,3,0,0
0,9,10,0,0,0
0,2,6,4,0,0
0,8,46,7,0,0
0,6,25,6,8,0
0,1,19,12,2,0
0,0,8,3,0,0
0,0,2,0,4,0
0,0,19,6,0,0
0,4,11,7,6,0
0,7,50,14,3,0
0,4,29,24,7,0
0,1,9,2,4,0
0,0,2,1,5,0
0,1,36,25,0,0
0,0,2,1,0,0
0,2,61,3,4,0
0,21,64,30,11,0
0,5,9,3,0,0
0,0,3,2,3,0
0,0,36,0,0,0
0,0,3,2,3,0
0,0,8,1,0,0
0,0,2,0,0,0
0,0,19,6,6,0
0,0,6,2,0,0
0,0,22,19,0,0
0,11,6,0,0,0
0,0,4,1,0,0
