I,R,C,W,E,F
0,0,1,0,0,0
0,1,4,1,2,0
0,0,15,2,0,0
0,2,3,0,1,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,0,0,1,0
0,1,1,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,4,0,0
0,0,0,0,1,0
0,9,10,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,6,25,6,10,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,4,0
0,0,0,0,1,0
0,4,12,6,10,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,1,5,0
0,0,0,0,1,0
0,0,2,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,2,5,0
0,0,1,0,1,0
0,0,3,2,3,0
0,0,8,1,0,0
0,0,2,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,22,19,4,0
0,0,6,0,1,0
0,0,4,1,1,0
