I,R,C,W,E,F
0,0,3,0,0,0
0,2,51,75,1,0
0,1,32,6,0,0
0,4,22,3,0,0
0,0,8,1,0,0
0,1,18,0,0,0
0,0,16,2,0,0
0,0,5,4,0,0
0,5,68,15,1,0
0,0,2,4,0,0
0,0,8,2,0,0
0,1,26,7,0,0
0,2,35,4,1,0
0,3,32,66,0,0
0,0,4,3,0,0
0,0,9,2,0,0
0,8,68,18,0,0
0,6,37,1,2,0
0,1,6,1,0,0
0,0,8,1,0,0
0,0,8,1,0,0
0,0,17,8,1,0
0,1,29,4,0,0
0,4,34,16,0,0
0,19,152,51,0,0
0,0,2,16,0,0
0,6,114,7,4,0
0,1,17,57,0,0
0,7,50,7,0,0
0,3,31,3,0,0
0,5,2,0,2,0
0,5,63,20,2,0
0,0,2,0,0,0
0,20,81,4,0,0
0,3,32,22,0,0
0,0,8,0,1,0
0,3,21,6,1,0
0,1,6,1,0,0
0,1,41,2,0,0
0,0,22,5,0,0
0,0,9,0,0,0
0,1,14,3,1,0
0,1,4,0,0,0
0,2,24,12,1,0
0,1,30,4,0,0
0,1,12,6,0,0
0,0,9,0,1,0
0,6,31,0,0,0
0,0,12,1,0,0
0,2,46,11,1,0
0,5,86,41,3,0
0,0,316,0,0,0
0,0,8,4,0,0
0,0,3,62,0,0
0,0,12,0,0,0
0,0,13,5,0,0
0,7,77,40,1,0
0,1,21,6,0,0
0,1,12,0,0,0
0,4,730,6,0,0
0,1,15,3,0,0
0,3,51,26,0,0
0,1,19,3,0,0
0,4,48,7,0,0
0,0,8,2,0,0
0,8,110,64,2,0
0,0,29,3,0,0
0,5,23,16,0,0
0,0,11,0,0,0
0,4,81,31,2,0
0,0,8,0,0,0
0,0,5,0,0,0
0,2,17,3,0,0
0,15,211,31,0,0
0,0,2,1,0,0
0,0,9,3,0,0
0,0,6,1,1,0
0,0,34,2,0,0
0,0,8,1,0,0
0,0,8,3,0,0
0,1,13,4,0,0
0,0,28,0,0,0
0,0,16,0,2,0
0,1,1,0,0,0
0,0,8,1,0,0
0,0,66,1,2,0
0,0,27,1,1,0
0,0,8,0,0,0
0,0,15,1,5,0
0,0,9,0,3,0
0,2,6,131,0,0
0,1,31,0,0,0
0,1,13,2,0,0
0,0,5,1,0,0
0,0,11,26,0,0
0,0,11,26,0,0
0,0,10,6,0,0
0,1,19,133,0,0
0,0,13,4,1,0
0,1,6,9,3,0
0,0,10,5,0,0
0,0,7,0,0,0
0,0,19,6,0,0
0,1,18,137,0,0
0,1,19,1,0,0
0,4,65,12,24,0
0,0,10,5,1,0
0,7,45,14,13,0
0,0,8,0,1,0
0,0,9,0,0,0
0,0,8,26,0,0
0,0,6,1,0,0
0,0,7,23,0,0
0,0,17,22,0,0
0,0,5,25,0,0
0,0,14,21,0,0
0,0,5,25,0,0
0,0,65,22,1,0
0,0,78,21,0,0
0,0,14,26,0,0
0,0,3,23,0,0
0,0,9,23,0,0
0,0,68,42,0,0
0,0,5,25,0,0
0,0,5,25,0,0
0,0,7,24,0,0
0,0,44,42,0,0
0,0,13,23,0,0
0,0,15,32,2,0
0,0,6,24,1,0
0,0,3,24,0,0
0,0,5,25,0,0
0,0,3,25,0,0
0,0,8,22,0,0
0,0,20,26,0,0
0,0,6,25,0,0
0,0,8,28,0,0
0,0,20,23,0,0
0,0,4,24,0,0
0,0,10,22,0,0
0,0,8,22,0,0
0,0,14,26,0,0
0,0,3,24,0,0
0,0,2,25,0,0
0,0,5,23,0,0
0,0,11,25,0,0
0,0,5,24,0,0
0,0,3,25,0,0
0,0,4,24,0,0
0,0,4,25,0,0
0,1,10,25,0,0
0,0,6,24,0,0
0,0,4,25,0,0
0,0,3,25,0,0
0,0,5,23,0,0
0,0,2,24,0,0
0,0,1,26,0,0
0,0,5,24,0,0
0,0,9,24,0,0
0,0,6,21,0,0
0,0,7,23,0,0
0,0,9,23,0,0
0,0,10,24,0,0
0,0,3,24,0,0
0,0,4,23,0,0
0,0,1,26,0,0
0,0,1,26,0,0
0,0,1,26,0,0
0,0,10,22,0,0
0,0,1,26,0,0
0,0,10,25,0,0
0,0,2,21,0,0
0,0,2,25,0,0
0,0,122,25,0,0
0,0,7,23,0,0
0,0,1,26,0,0
0,0,10,24,0,0
0,0,60,23,0,0
0,0,1,25,0,0
0,0,6,24,0,0
0,0,5,25,0,0
0,0,8,21,0,0
0,0,7,23,0,0
0,0,3,26,0,0
0,0,29,26,0,0
0,0,5,25,0,0
0,1,9,25,0,0
0,0,3,26,0,0
0,2,23,24,0,0
0,0,6,24,0,0
0,0,7,23,0,0
0,0,19,26,0,0
0,0,28,27,4,0
0,0,4,23,0,0
0,0,1,27,0,0
0,0,12,22,0,0
0,0,2,26,0,0
0,0,4,25,0,0
0,0,1,27,0,0
0,0,5,24,0,0
0,2,79,24,0,0
0,0,6,26,0,0
0,0,21,23,0,0
0,0,26,24,1,0
0,1,79,38,2,0
0,0,20,3,0,0
0,1,13,135,0,0
0,43,3,1,0,0
0,1,5,134,0,0
