I,R,C,W,E,F
0,0,4,0,1,0
0,0,44,4,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,4,4,4,0
0,1,4,0,5,0
0,1,7,3,2,0
0,0,1,0,0,0
0,1,5,1,3,0
0,0,3,1,0,0
0,0,2,0,0,0
0,0,4,0,4,0
0,0,4,1,3,0
0,0,9,1,2,0
0,1,13,0,3,0
0,1,4,0,1,0
0,1,5,1,1,0
0,1,26,1,19,0
0,4,3,3,5,0
0,0,2,0,1,0
0,0,15,16,7,0
0,1,11,4,7,0
0,1,4,0,4,0
0,0,6,0,1,0
0,2,10,1,5,0
0,0,5,0,0,0
0,1,2,0,1,0
0,1,18,5,5,0
0,1,14,2,3,0
0,0,4,0,1,0
0,0,6,2,4,0
0,0,10,2,3,0
0,0,2,0,0,0
0,2,2,2,2,0
0,0,12,0,1,0
0,5,16,4,8,0
0,0,7,7,5,0
0,1,9,9,6,0
0,1,9,4,3,0
0,0,0,0,1,0
0,2,4,1,1,0
0,0,9,2,2,0
0,1,16,4,6,0
0,1,5,1,1,0
0,0,7,1,2,0
0,0,7,1,3,0
0,2,8,1,3,0
0,1,6,2,1,0
0,2,9,1,5,0
0,1,6,1,2,0
0,1,5,2,2,0
0,2,3,2,2,0
0,2,9,1,1,0
0,0,0,0,1,0
0,2,8,3,2,0
0,2,28,21,6,0
0,2,10,3,3,0
0,1,10,0,2,0
0,1,7,4,1,0
0,0,1,0,2,0
0,8,21,7,11,0
0,2,15,7,8,0
0,7,30,12,6,0
0,0,6,0,1,0
0,0,1,3,0,0
0,0,2,0,2,0
0,0,12,4,13,0
0,1,4,1,3,0
0,5,25,0,8,0
0,1,4,1,6,0
0,0,23,1,4,0
0,1,4,1,3,0
0,1,7,1,8,0
0,2,5,1,6,0
0,0,1,1,2,0
0,0,6,0,1,0
0,2,3,0,1,0
0,1,8,0,1,0
0,2,29,4,10,0
0,0,9,0,1,0
0,0,8,0,2,0
0,1,2,0,1,0
0,0,1,1,3,0
0,0,0,0,1,0
0,0,2,2,7,0
0,3,4,4,8,0
0,5,7,4,1,0
0,0,2,0,1,0
0,1,3,0,1,0
0,0,2,0,2,0
0,0,0,0,1,0
0,1,10,2,3,0
0,3,2,1,3,0
0,0,6,0,3,0
0,0,3,0,2,0
0,0,0,0,1,0
0,2,4,0,4,0
0,0,3,0,1,0
0,0,13,0,1,0
0,1,7,0,3,0
0,2,4,0,6,0
0,1,14,0,2,0
0,1,3,0,1,0
0,5,50,25,27,0
0,0,14,0,1,0
0,0,10,6,7,0
0,1,8,0,2,0
0,1,3,1,1,0
0,11,65,4,13,0
0,0,10,0,5,0
0,2,32,6,36,0
0,9,15,7,11,0
0,0,6,0,3,0
0,6,21,8,13,0
0,1,25,0,5,0
0,1,3,0,2,0
0,33,161,74,31,0
0,0,12,4,9,0
0,0,17,0,1,0
0,3,18,0,4,0
0,10,51,15,28,0
0,1,7,1,4,0
0,0,3,0,1,0
0,0,4,0,1,0
0,0,5,1,3,0
0,1,6,0,1,0
0,1,11,4,2,0
0,6,53,17,27,0
0,0,11,0,1,0
0,1,5,8,5,0
0,3,4,0,3,0
0,1,5,0,2,0
0,2,6,0,4,0
0,0,7,0,1,0
0,0,10,0,1,0
0,7,46,11,15,0
0,1,2,2,4,0
0,0,3,3,1,0
0,1,18,0,3,0
0,1,5,0,1,0
0,3,16,1,9,0
0,2,8,3,2,0
0,0,18,0,1,0
0,1,15,0,10,0
0,0,3,3,2,0
0,3,12,1,4,0
0,1,16,0,1,0
0,2,23,5,11,0
0,0,2,0,1,0
0,2,18,27,17,0
0,0,8,0,1,0
0,0,5,2,6,0
0,0,1,0,1,0
0,2,11,3,15,0
0,0,2,0,0,0
0,3,18,6,4,0
0,0,4,1,15,0
0,5,5,0,1,0
0,0,6,11,13,0
0,0,16,3,1,0
0,23,1,0,1,0
0,0,1,3,0,0
0,2,14,0,6,0
0,0,2,5,6,0
0,1,3,0,2,0
0,0,1,2,0,0
0,0,5,4,1,0
0,8,42,26,13,0
0,0,2,0,0,0
0,0,2,0,1,0
0,0,1,3,0,0
0,0,1,1,0,0
0,1,8,3,2,0
0,0,3,1,1,0
0,0,4,3,0,0
0,1,1,0,3,0
0,1,1,2,3,0
0,1,6,1,2,0
0,0,2,2,2,0
0,0,1,0,0,0
0,2,2,0,4,0
0,0,2,1,3,0
0,0,1,0,3,0
0,0,8,0,2,0
0,0,3,0,0,0
0,0,33,71,0,0
0,5,18,14,12,0
0,3,4,0,1,0
0,0,6,6,3,0
0,1,2,3,10,0
0,2,2,1,2,0
0,2,2,0,1,0
0,4,5,0,4,0
