I,R,C,W,E,F
0,0,2,0,0,0
0,0,16,5,12,0
0,0,15,0,0,0
0,0,66,11,6,0
0,0,3,0,6,0
0,0,29,40,22,0
0,2,49,38,24,0
0,30,474,69,180,0
0,0,0,0,1,0
0,0,0,0,1,0
0,7,253,48,62,0
0,0,46,12,27,0
0,11,300,33,90,0
0,1,11,9,20,0
0,10,131,50,34,0
0,0,77,8,34,0
0,2,27,9,3,0
0,0,0,0,1,0
0,0,7,0,0,0
0,0,2,1,4,0
0,2,9,10,13,0
0,0,1,0,3,0
0,0,1,0,0,0
0,0,5,0,3,0
0,3,1,0,3,0
0,0,12,0,9,0
0,1,2,0,1,0
0,0,4,0,3,0
0,1,3,0,1,0
0,0,3,1,4,0
0,2,17,2,6,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,48,8,17,0
0,0,3,1,2,0
0,0,2,0,5,0
0,2,9,0,7,0
0,1,4,0,6,0
0,3,11,0,7,0
0,2,4,0,7,0
0,1,6,0,5,0
0,0,1,0,3,0
0,1,5,0,5,0
0,2,11,0,4,0
0,3,7,12,21,0
0,8,6,0,4,0
0,2,5,0,2,0
0,2,6,1,5,0
0,2,6,2,11,0
0,2,2,0,4,0
0,0,4,0,2,0
0,1,6,2,4,0
0,3,21,2,8,0
0,0,3,0,0,0
0,1,1,0,2,0
