I,R,C,W,E,F
0,2,7,1,1,0
0,0,0,0,1,0
0,0,6,1,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,14,0,21,0
0,0,50,3,0,0
0,5,15,1,2,0
0,0,0,0,1,0
0,0,4,0,1,0
0,4,2,1,1,0
0,0,2,0,0,0
0,0,3,0,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,21,6,4,0
0,0,0,0,1,0
0,9,28,16,8,0
0,0,0,0,1,0
0,2,4,1,0,0
0,0,9,6,7,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,1,0
0,0,7,1,1,0
0,0,6,1,1,0
0,3,3,0,0,0
0,1,3,0,2,0
0,2,4,0,2,0
0,2,4,0,2,0
0,0,2,1,0,0
0,3,11,0,1,0
0,1,3,0,0,0
0,1,8,2,2,0
0,0,17,3,0,0
0,0,0,0,1,0
0,2,5,0,0,0
0,5,26,10,5,0
0,0,2,0,0,0
0,1,6,2,0,0
0,0,2,0,0,0
0,0,1,0,1,0
0,5,18,8,6,0
0,0,2,2,1,0
0,0,0,0,1,0
0,0,2,4,3,0
0,1,4,6,1,0
0,1,3,0,2,0
0,1,1,5,2,0
0,1,12,15,7,0
0,1,12,25,7,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,3,1,0,0
0,2,17,1,1,0
0,0,6,0,2,0
0,21,20,1,1,0
0,0,1,0,0,0
0,0,1,0,2,0
0,11,10,0,4,0
0,7,8,0,3,0
0,0,0,0,1,0
0,0,4,0,2,0
0,0,0,0,1,0
0,11,119,26,4,0
0,0,4,0,0,0
0,0,13,0,1,0
0,9,88,20,15,0
0,5,13,0,0,0
0,7,38,7,3,0
0,2,4,0,0,0
0,0,0,6,1,0
0,11,23,20,1,0
0,7,71,13,5,0
0,12,118,16,11,0
0,3,32,7,4,0
0,4,13,7,0,0
0,0,8,1,0,0
0,9,23,10,0,0
0,0,14,2,1,0
0,0,0,0,1,0
0,0,11,7,4,0
0,2,21,6,4,0
0,0,0,0,1,0
0,6,25,13,19,0
0,0,0,1,0,0
0,3,7,3,3,0
0,2,5,3,3,0
0,4,56,1,3,0
0,2,2,3,3,0
0,0,10,1,3,0
0,0,7,5,0,0
0,1,28,11,3,0
0,0,12,4,2,0
0,4,230,55,3,0
0,2,32,8,2,0
0,0,5,0,0,0
0,0,5,0,1,0
0,2,4,0,3,0
0,6,112,36,4,0
0,0,58,9,3,0
0,1,13,5,2,0
0,0,8,1,2,0
0,53,236,78,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,7,53,1,0,0
0,1,52,4,0,0
0,1,24,2,0,0
0,5,154,8,9,0
0,0,0,0,1,0
0,1,47,3,1,0
0,0,38,14,1,0
0,0,0,0,1,0
0,0,5,0,0,0
0,0,7,5,0,0
0,4,33,9,4,0
0,2,16,1,1,0
0,1,4,3,0,0
0,2,38,16,1,0
0,0,7,0,0,0
0,0,13,6,0,0
0,0,8,0,2,0
0,0,5,0,1,0
0,0,6,0,2,0
0,0,5,2,1,0
0,0,2,0,0,0
0,0,0,0,2,0
0,0,2,0,1,0
0,0,3,0,1,0
0,0,1,1,1,0
0,0,8,3,1,0
0,0,4,0,2,0
0,0,9,0,0,0
0,0,16,2,4,0
0,0,0,0,1,0
0,2,31,2,22,0
0,3,39,3,0,0
0,0,9,1,0,0
0,0,13,1,0,0
0,51,24,3,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,38,5,8,0
0,8,31,0,6,0
0,1,5,2,1,0
0,1,11,3,2,0
0,0,4,0,1,0
0,0,2,0,1,0
0,0,4,0,2,0
0,0,2,0,1,0
0,0,3,0,1,0
0,0,9,0,1,0
0,0,2,0,1,0
0,0,2,0,1,0
0,0,2,0,1,0
0,4,16,1,1,0
0,0,9,0,1,0
0,0,18,0,2,0
0,0,0,0,1,0
0,2,5,0,0,0
0,2,4,0,1,0
0,0,17,1,8,0
0,0,0,0,1,0
0,1,5,1,5,0
0,2,4,0,2,0
0,2,25,1,8,0
