I,R,C,W,E,F
0,1,4,0,0,0
0,1,2,19,7,0
0,5,14,5,13,0
0,0,0,0,1,0
0,3,13,1,2,0
0,0,0,0,3,0
0,1,16,1,14,0
0,0,27,1,4,0
0,1,3,1,3,0
0,0,8,1,6,0
0,1,3,1,3,0
0,0,22,1,15,0
0,0,6,1,5,0
0,0,8,1,6,0
0,0,8,1,5,0
0,0,12,2,11,0
0,0,11,2,11,0
0,0,10,2,11,0
0,0,11,2,11,0
0,1,8,1,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,15,0,0
0,5,28,5,6,0
0,0,0,0,2,0
0,0,0,0,1,0
0,0,15,1,2,0
0,6,27,7,4,0
0,0,0,0,1,0
0,0,0,22,1,0
0,0,0,0,1,0
0,0,0,21,0,0
0,0,8,4,1,0
0,0,1,1,0,0
0,2,4,3,1,0
0,0,0,0,1,0
0,0,3,0,0,0
0,0,0,1,2,0
0,0,0,0,1,0
0,3,31,0,6,0
0,0,1,2,0,0
0,3,13,1,9,0
0,5,70,12,4,0
0,6,9,4,6,0
0,4,45,10,8,0
0,0,4,0,0,0
0,15,56,7,7,0
0,0,6,0,0,0
0,3,12,4,8,0
0,0,4,0,0,0
0,10,48,3,6,0
0,2,10,2,11,0
0,7,38,6,8,0
0,3,12,2,8,0
0,0,0,0,1,0
0,4,31,0,9,0
0,0,0,0,1,0
0,8,60,7,7,0
