I,R,C,W,E,F
0,0,0,0,2,0
0,0,0,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,2,0
0,0,9,7,0,0
0,0,6,0,3,0
0,0,1,0,0,0
0,0,0,0,1,0
0,1,7,6,0,0
0,0,0,0,1,0
0,0,1,3,0,0
0,0,0,0,1,0
0,0,24,0,0,0
0,0,0,0,1,0
0,2,44,27,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,61,89,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,58,15,8,0
0,0,0,0,1,0
0,0,14,25,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,2,0
0,0,0,0,1,0
0,0,0,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,5,0,0
0,2,4,4,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,44,56,20,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,16,69,25,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,37,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,3,2,0,0
0,1,2,1,0,0
0,1,2,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,7,33,14,8,0
0,7,33,18,14,0
0,6,19,18,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,21,9,4,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,2,7,6,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,93,22,51,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,3,2,0,0
0,1,2,1,0,0
0,1,2,1,0,0
0,0,0,0,1,0
0,2,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,15,25,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,6,27,12,7,0
0,0,0,0,1,0
0,0,0,0,1,0
