I,R,C,W,E,F
0,0,2,0,0,0
0,0,31,2,0,0
0,1,4,0,0,0
0,2,3,1,1,0
0,0,1,6,0,0
0,1,10,1,3,0
0,0,4,8,0,0
0,2,9,2,5,0
0,0,11,4,3,0
0,0,17,0,1,0
0,0,9,5,1,0
0,0,18,1,3,0
0,0,9,1,2,0
0,5,12,14,1,0
0,0,5,10,0,0
0,0,6,1,0,0
0,0,8,0,0,0
0,1,5,1,0,0
0,0,1,0,0,0
0,2,12,3,4,0
0,0,2,1,0,0
0,0,6,5,0,0
0,0,2,0,0,0
0,0,3,1,0,0
0,0,7,1,1,0
0,0,3,1,0,0
0,0,3,1,0,0
0,0,3,0,0,0
0,0,7,1,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,2,22,1,3,0
0,1,2,4,1,0
0,0,24,2,0,0
0,0,0,4,1,0
0,1,5,2,4,0
0,0,5,1,0,0
0,0,4,0,0,0
0,0,4,0,1,0
0,0,24,3,1,0
0,1,6,1,5,0
0,1,9,0,2,0
0,0,18,0,2,0
0,0,6,5,0,0
0,0,27,3,17,0
0,2,0,1,2,0
0,2,14,2,5,0
0,0,5,2,2,0
0,1,20,3,4,0
0,0,8,1,0,0
0,0,2,1,0,0
0,0,18,5,3,0
0,0,3,3,0,0
0,21,58,15,1,0
0,8,22,3,19,0
0,6,35,10,19,0
0,0,8,0,0,0
0,0,12,1,0,0
0,3,10,2,0,0
0,0,2,4,1,0
0,44,126,10,18,0
0,20,32,4,1,0
0,0,7,0,1,0
0,24,39,7,4,0
0,35,75,0,1,0
0,0,6,7,1,0
0,2,38,3,6,0
0,0,114,22,1,0
0,1,6,0,0,0
0,0,22,0,2,0
0,8,110,23,19,0
0,2,71,0,1,0
0,9,55,3,4,0
0,12,111,6,21,0
0,4,74,9,3,0
0,0,5,1,0,0
0,2,5,1,1,0
0,1,6,1,1,0
0,0,1,0,0,0
0,3,79,11,0,0
0,4,26,21,4,0
0,5,17,0,2,0
0,3,2,2,0,0
0,9,13,13,15,0
0,4,7,3,2,0
0,1,17,15,16,0
0,0,7,4,0,0
0,1,0,0,0,0
0,4,29,4,0,0
0,4,6,0,0,0
0,3,0,0,0,0
0,6,13,2,0,0
0,1,2,0,12,0
0,5,5,2,0,0
0,9,98,82,6,0
0,8,22,11,1,0
0,6,23,18,4,0
0,8,30,9,4,0
0,4,29,7,5,0
0,2,9,6,0,0
0,0,4,1,0,0
0,10,19,14,0,0
0,5,27,9,4,0
0,2,7,57,2,0
0,0,21,2,2,0
0,18,25,34,2,0
0,5,6,4,2,0
0,0,28,1,0,0
0,9,38,16,10,0
0,10,24,19,3,0
0,0,8,0,0,0
0,11,39,4,0,0
0,2,2,1,0,0
0,7,28,16,0,0
0,16,34,16,4,0
0,13,26,5,4,0
0,0,1,0,0,0
