I,R,C,W,E,F
0,21,8,1,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,16,34,7,2,0
0,6,26,14,1,0
0,0,6,4,0,0
0,0,1,3,0,0
0,1,11,4,0,0
0,0,23,1,1,0
0,0,6,4,0,0
0,7,15,4,0,0
0,1,6,2,0,0
0,0,7,1,0,0
0,3,9,3,0,0
0,1,25,16,2,0
0,0,4,7,0,0
0,0,10,3,1,0
0,2,19,13,0,0
0,2,20,4,3,0
0,2,9,2,0,0
0,6,39,16,2,0
0,0,23,0,0,0
0,0,5,3,0,0
0,0,8,2,0,0
0,0,16,3,0,0
0,1,11,3,1,0
0,0,121,4,1,0
0,0,4,3,0,0
0,0,4,3,0,0
0,2,21,10,4,0
0,0,10,2,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,47,9,1,0
0,0,5,0,0,0
0,2,5,0,0,0
0,0,8,2,1,0
0,0,1,0,0,0
0,0,9,8,0,0
0,0,7,5,0,0
0,0,1,3,0,0
0,0,1,0,0,0
0,2,12,10,2,0
0,8,30,14,2,0
0,2,9,9,0,0
0,1,21,10,0,0
0,0,10,10,2,0
0,0,3,2,0,0
0,2,11,11,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,13,6,0,0
0,0,7,5,0,0
0,1,7,5,0,0
0,1,12,6,5,0
0,3,12,6,13,0
0,1,16,12,0,0
0,0,12,0,0,0
0,0,14,3,0,0
0,0,37,2,0,0
0,1,12,1,1,0
0,0,21,3,0,0
0,0,13,4,0,0
0,0,15,1,0,0
0,0,9,1,0,0
0,0,9,0,0,0
0,0,11,3,0,0
0,1,8,1,0,0
0,0,5,0,0,0
0,0,21,3,0,0
0,2,14,10,0,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,2,2,0,0
0,0,4,5,0,0
0,0,5,4,0,0
0,0,5,2,1,0
0,0,2,0,0,0
0,0,3,6,0,0
0,0,2,1,0,0
0,0,1,2,0,0
0,0,2,3,0,0
0,0,3,3,0,0
0,0,3,3,0,0
0,0,2,0,0,0
