I,R,C,W,E,F
0,0,1,2,2,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,6,2,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,3,2,1,0
0,1,57,0,5,0
0,1,8,2,1,0
0,1,3,0,1,0
0,1,3,0,2,0
0,1,4,0,1,0
0,1,3,1,1,0
0,1,9,1,1,0
0,1,4,1,1,0
0,43,115,21,24,0
0,0,1,0,0,0
0,2,4,2,3,0
0,4,13,5,2,0
0,3,59,7,7,0
0,2,5,32,8,0
0,0,7,5,8,0
0,0,1,0,0,0
0,0,3,1,4,0
0,0,14,0,1,0
0,0,0,0,1,0
0,9,61,22,8,0
0,11,48,20,11,0
0,0,1,0,0,0
0,0,3,1,2,0
0,0,1,0,0,0
0,0,2,0,1,0
0,1,5,5,10,0
0,10,21,5,10,0
0,2,22,0,1,0
0,0,2,0,2,0
0,0,2,0,0,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,11,0,0,0
0,0,15,9,2,0
0,0,5,1,4,0
0,0,2,16,1,0
0,0,13,0,1,0
0,0,23,1,1,0
0,0,7,0,1,0
0,0,0,0,1,0
0,0,235,0,1,0
0,0,1,0,0,0
0,1,11,3,1,0
0,3,7,0,0,0
0,1,6,0,2,0
0,2,11,4,3,0
0,1,8,1,4,0
0,1,2,1,0,0
0,2,2,0,0,0
0,6,22,9,6,0
0,1,5,5,0,0
0,2,6,2,0,0
0,0,0,0,1,0
0,6,50,8,7,0
0,0,6,0,0,0
0,13,62,53,12,0
0,0,1,0,0,0
0,4,13,1,2,0
0,0,9,0,1,0
0,0,7,0,1,0
0,1,14,8,11,0
0,1,45,4,6,0
0,3,16,6,11,0
0,0,17,2,6,0
0,2,15,21,4,0
0,0,9,12,8,0
0,0,1,0,3,0
0,0,0,0,1,0
0,1,35,10,14,0
0,0,0,0,1,0
0,0,12,0,0,0
0,1,9,0,3,0
0,0,2,1,0,0
0,1,32,38,6,0
0,2,11,1,3,0
0,1,58,3,2,0
0,0,9,8,3,0
0,1,8,1,2,0
0,1,7,1,4,0
0,20,754,49,36,0
0,4,10,7,3,0
0,0,7,0,2,0
0,33,183,48,105,0
0,3,48,7,4,0
0,0,7,2,2,0
0,0,0,0,1,0
0,1,13,5,2,0
0,1,9,2,2,0
0,6,26,2,10,0
0,0,0,0,1,0
0,5,62,10,6,0
0,5,54,11,6,0
0,0,8,0,0,0
0,0,10,0,2,0
0,6,7,10,64,0
0,0,1,0,0,0
0,0,11,0,3,0
0,0,1,0,0,0
0,0,19,0,3,0
0,0,1,0,0,0
0,2,16,2,2,0
0,0,10,1,3,0
0,3,44,4,3,0
0,0,16,0,2,0
0,1,3,0,2,0
0,0,13,1,3,0
0,0,15,2,3,0
0,1,11,0,2,0
0,11,112,13,16,0
0,0,19,1,3,0
0,0,15,1,2,0
0,1,22,6,4,0
0,0,0,0,1,0
