I,R,C,W,E,F
0,0,1,11,8,0
0,1,3,0,0,0
0,5,0,4,1,0
0,6,17,11,1,0
0,5,25,10,0,0
0,1,6,3,0,0
0,4,12,7,0,0
0,0,7,0,0,0
0,11,8,7,8,0
0,13,17,4,1,0
0,5,12,4,1,0
0,20,26,15,9,0
0,4,11,12,1,0
0,16,31,15,7,0
0,9,16,4,1,0
0,0,19,45,0,0
0,41,42,1,0,0
0,8,33,8,0,0
0,6,21,6,0,0
0,2,18,4,0,0
0,3,7,2,1,0
0,3,14,3,0,0
0,0,8,10,2,0
0,2,4,4,0,0
0,1,6,0,0,0
0,0,6,0,0,0
0,0,7,4,0,0
0,0,27,1,0,0
0,1,9,2,0,0
0,0,6,0,0,0
0,49,17,15,2,0
0,0,11,9,0,0
0,0,16,1,0,0
0,2,6,0,0,0
0,0,17,6,2,0
0,1,208,28,0,0
0,1,72,21,5,0
0,1,33,32,0,0
0,1,69,9,4,0
0,6,136,132,14,0
0,0,2,0,0,0
0,0,35,11,0,0
0,4,22,0,0,0
0,0,137,36,0,0
0,1,65,13,0,0
0,1,47,59,10,0
0,2,194,4,248,0
0,18,245,41,0,0
0,2,118,56,0,0
0,1,92,35,1,0
0,3,89,18,1,0
0,0,23,4,2,0
0,0,18,1,0,0
0,3,139,31,0,0
0,1,26,12,0,0
0,2,37,8,0,0
0,2,82,16,5,0
0,1,97,14,0,0
0,1,63,0,0,0
0,8,103,46,5,0
0,2,74,7,1,0
0,1,12,25,0,0
0,1,30,6,0,0
0,0,8,5,0,0
0,0,7,5,0,0
0,0,8,5,0,0
0,0,13,8,0,0
0,0,9,2,0,0
0,4,17,18,3,0
