I,R,C,W,E,F
0,12,76,28,6,0
0,0,17,7,6,0
0,0,3,2,0,0
0,0,1,1,1,0
0,107,1423,365,954,0
0,16,53,3,1,0
0,0,8,5,0,0
0,0,40,9,0,0
0,0,3,0,2,0
0,0,0,3,0,0
0,4,19,5,26,0
0,4,7,9,4,0
0,0,3,0,0,0
0,0,1,0,0,0
0,3,39,13,3,0
0,0,3,39,3,0
0,0,1,4,0,0
0,0,1,0,0,0
0,1,32,16,0,0
0,0,27,16,0,0
0,2,10,32,5,0
0,0,28,8,0,0
0,0,36,8,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,19,1,12,0
0,0,4,3,4,0
0,0,20,2,11,0
0,0,1,2,1,0
0,9,7,10,11,0
0,3,2,15,3,0
0,1,2,3,0,0
0,0,2,0,0,0
0,27,222,8,0,0
0,19,61,2,0,0
0,4,17,7,0,0
0,6,19,4,1,0
0,0,6,0,4,0
0,0,4,3,2,0
0,0,49,0,0,0
0,40,67,10,0,0
0,0,2,2,0,0
0,3,27,3,2,0
0,0,0,19,1,0
0,0,17,0,0,0
0,0,539,6,0,0
0,4,74,26,36,0
0,4,20,34,25,0
0,12,8,1,0,0
0,15,28,32,8,0
0,0,1,0,1,0
0,0,1,2,17,0
0,0,2,0,13,0
0,0,1,0,0,0
0,2,13,0,17,0
0,0,2,0,13,0
0,0,7,2,3,0
0,0,10,7,7,0
0,0,7,4,0,0
0,0,2,1,0,0
0,0,1,0,19,0
0,0,4,10,0,0
0,0,13,2,10,0
0,0,4,0,4,0
0,0,1,0,0,0
0,0,1,0,0,0
0,8,22,1,37,0
0,0,6,4,0,0
0,0,15,1,0,0
0,0,1,0,0,0
0,0,6,2,18,0
0,2,8,8,2,0
0,0,1,0,15,0
0,0,3,2,0,0
0,1,21,2,9,0
0,1,11,1,2,0
0,3,2,8,8,0
0,2,16,18,30,0
0,2,38,3,3,0
0,0,8,7,1,0
0,2,6,1,8,0
0,2,10,1,7,0
0,0,10,1,4,0
0,2,9,1,4,0
0,1,152,0,11,0
0,11,48,34,141,0
0,0,3,0,0,0
