I,R,C,W,E,F
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,4,11,8,2,0
0,6,31,15,2,0
0,0,5,0,0,0
0,0,7,1,1,0
1,0,1,0,0,0
0,0,1,0,0,0
0,2,3,6,19,0
0,6,13,5,13,0
0,2,41,21,13,0
0,3,33,23,7,0
0,2,16,2,7,0
0,0,7,2,6,0
0,8,40,22,22,0
3,7,95,19,35,0
0,12,38,2,1,0
0,0,1,0,0,0
0,0,56,2,1,0
0,3,29,15,12,0
0,6,20,0,1,0
0,2,22,4,9,0
0,1,4,8,0,0
0,0,8,0,0,0
0,46,448,1,2,0
0,19,152,37,6,0
0,13,9,2,0,0
0,16,8,6,0,0
0,7,34,0,0,0
0,0,26,2,1,0
0,0,31,2,6,0
0,0,3,0,1,0
0,1,166,0,1,0
0,8,112,16,7,0
0,0,16,6,2,0
0,2,17,13,6,0
0,0,12,10,1,0
0,1,81,125,30,0
0,2,30,15,6,0
0,0,5,0,2,0
0,23,121,2,0,0
0,3,20,7,0,0
0,3,30,17,22,0
0,0,1,0,0,0
0,21,2,2,0,0
0,5,1,0,0,0
0,4,79,0,1,0
0,10,118,2,0,0
0,5,70,0,1,0
0,0,18,0,0,0
0,70,593,225,144,0
0,0,28,17,2,0
0,0,20,4,9,0
0,0,40,0,1,0
0,10,45,1,0,0
0,0,23,10,0,0
0,0,4,0,1,0
0,3,16,3,0,0
0,7,18,0,9,0
0,0,2,0,2,0
0,0,16,4,3,0
