I,R,C,W,E,F
0,4,17,10,7,0
0,0,10,3,0,0
0,0,19,4,0,0
0,0,4,0,0,0
0,1,34,1,4,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,3,15,6,8,0
0,5,25,4,4,0
0,4,26,4,5,0
0,3,13,0,1,0
0,7,42,39,7,0
0,7,22,25,2,0
0,7,47,9,8,0
0,6,43,9,4,0
0,15,69,7,5,0
0,0,2,0,0,0
0,8,26,4,9,0
0,3,11,2,2,0
0,9,28,4,5,0
0,15,25,24,2,0
0,3,9,1,3,0
0,12,204,53,16,0
0,2,9,2,3,0
0,0,2,0,2,0
0,15,126,22,10,0
0,1,3,8,1,0
0,1,6,2,1,0
0,1,33,0,6,0
0,0,16,0,1,0
0,3,30,3,3,0
0,4,22,1,2,0
0,3,22,4,4,0
0,3,12,1,4,0
0,1,16,1,1,0
0,3,30,2,3,0
0,0,2,0,0,0
0,1,10,0,2,0
0,0,11,1,1,0
0,2,17,1,1,0
0,0,17,4,3,0
0,0,3,0,0,0
0,0,15,0,2,0
0,8,75,0,8,0
0,0,7,0,1,0
0,1,21,1,1,0
0,0,6,0,1,0
0,2,19,0,1,0
0,3,61,12,3,0
0,2,27,1,2,0
0,0,1,0,0,0
0,4,32,1,2,0
0,0,31,3,1,0
0,3,47,1,2,0
0,4,57,0,2,0
0,3,46,0,5,0
0,0,1,0,0,0
0,2,88,2,5,0
0,0,22,0,1,0
0,2,8,18,3,0
0,5,14,10,0,0
0,8,29,11,3,0
0,0,2,0,0,0
0,5,86,1,4,0
0,1,26,0,1,0
0,0,4,1,2,0
0,0,25,2,6,0
0,3,23,11,5,0
0,1,46,0,2,0
0,2,22,0,3,0
0,1,31,0,0,0
0,2,44,0,2,0
0,0,4,0,0,0
0,0,1,2,0,0
0,2,44,1,0,0
0,1,61,2,2,0
0,0,3,0,0,0
0,14,157,10,2,0
0,2,31,2,2,0
0,4,42,4,10,0
0,4,58,12,12,0
0,1,15,4,3,0
0,0,4,0,2,0
0,0,4,0,0,0
0,0,7,0,1,0
0,0,8,1,3,0
0,0,11,2,3,0
0,0,8,2,3,0
0,0,15,5,2,0
0,0,21,6,5,0
0,0,24,4,9,0
0,3,33,7,5,0
0,0,9,0,0,0
0,1,2,11,5,0
0,0,2,0,0,0
0,2,32,7,5,0
0,4,103,32,7,0
0,3,60,29,6,0
0,3,36,11,5,0
0,1,55,9,4,0
0,9,245,69,31,0
0,0,3,0,1,0
0,0,2,0,1,0
0,7,27,8,2,0
0,5,40,7,4,0
0,1,32,2,2,0
0,0,3,0,1,0
0,5,75,11,6,0
0,15,175,12,10,0
0,5,53,6,7,0
0,0,7,5,0,0
0,2,12,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,2,2,2,0
0,5,7,4,3,0
0,0,35,2,2,0
0,2,35,9,4,0
0,2,4,3,2,0
0,9,13,20,3,0
0,10,76,14,6,0
0,5,9,11,2,0
0,6,16,11,2,0
0,4,10,10,3,0
0,5,14,12,2,0
0,3,21,15,3,0
0,8,42,31,5,0
0,12,54,22,7,0
0,7,32,1,1,0
0,8,43,32,2,0
0,5,5,10,2,0
0,7,7,13,2,0
0,0,3,0,0,0
0,5,39,0,5,0
0,10,196,29,8,0
0,5,14,0,1,0
0,0,2,0,0,0
0,9,59,6,7,0
0,6,21,3,6,0
0,2,8,3,1,0
0,0,2,0,0,0
0,9,69,17,6,0
0,0,2,0,0,0
0,13,40,9,7,0
0,2,10,4,7,0
0,10,67,13,5,0
0,4,46,6,5,0
0,0,8,2,0,0
0,0,11,0,1,0
0,0,19,0,3,0
0,0,4,0,1,0
0,5,30,4,6,0
0,0,2,0,1,0
0,2,12,4,1,0
0,0,2,0,0,0
0,16,75,2,4,0
0,1,4,1,1,0
0,1,11,3,4,0
0,1,4,1,1,0
0,0,3,0,0,0
0,0,5,0,0,0
0,0,20,1,2,0
0,0,4,1,1,0
0,7,66,5,16,0
0,0,0,2,1,0
0,3,6,7,0,0
0,1,2,9,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,15,18,0,2,0
0,0,8,6,2,0
0,1,3,0,0,0
0,3,2,0,1,0
0,0,1,0,0,0
0,2,58,0,1,0
0,4,84,4,3,0
0,10,89,18,3,0
0,1,32,5,7,0
0,1,37,4,2,0
0,0,2,3,1,0
0,1,9,0,1,0
0,7,101,15,7,0
0,2,56,0,1,0
0,1,2,1,2,0
0,1,6,3,0,0
0,0,9,6,1,0
0,1,30,3,5,0
0,2,26,7,7,0
0,1,3,2,0,0
0,2,1,0,1,0
0,11,85,6,4,0
0,1,5,2,0,0
0,9,12,1,5,0
0,3,10,3,2,0
0,3,7,8,1,0
0,1,0,0,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,5,24,14,1,0
0,11,25,13,2,0
0,13,84,15,9,0
0,1,18,1,4,0
0,0,1,0,0,0
0,0,2,0,0,0
0,6,34,4,7,0
0,4,50,10,21,0
0,5,72,12,23,0
0,2,45,10,18,0
0,1,2,1,0,0
0,5,72,4,5,0
0,1,2,0,0,0
0,1,1,1,1,0
0,5,60,9,25,0
0,4,34,4,3,0
0,6,49,10,12,0
0,4,69,11,6,0
0,5,62,9,22,0
0,2,10,11,1,0
0,12,70,11,10,0
0,6,39,3,4,0
0,17,42,6,0,0
0,0,49,15,8,0
0,0,4,0,0,0
0,0,16,1,0,0
0,1,20,4,1,0
0,1,16,2,1,0
0,1,2,0,0,0
0,1,19,13,0,0
0,0,8,0,2,0
0,3,32,0,3,0
0,9,123,9,6,0
0,25,466,38,9,0
0,12,71,9,4,0
0,1,17,6,1,0
0,1,3,1,1,0
0,3,4,4,1,0
0,4,30,4,3,0
0,1,15,11,0,0
0,2,11,14,4,0
