I,R,C,W,E,F
0,0,18,10,5,0
0,1,5,0,7,0
0,2,7,6,5,0
0,2,18,5,0,0
0,0,3,4,0,0
0,14,27,10,9,0
0,0,5,0,1,0
0,0,0,0,1,0
0,18,29,19,34,0
0,4,20,8,0,0
0,4,22,10,4,0
0,1,16,2,4,0
0,0,8,0,1,0
0,10,9,8,2,0
0,1,3,1,1,0
0,6,9,3,3,0
0,9,28,10,6,0
0,11,57,16,7,0
0,7,17,6,18,0
0,6,12,4,1,0
0,17,49,1,4,0
0,4,28,16,6,0
0,9,14,16,3,0
0,6,34,11,6,0
0,30,48,36,11,0
0,1,16,17,9,0
0,3,4,4,12,0
0,0,1,3,2,0
0,0,1,3,2,0
0,1,1,3,1,0
0,2,5,5,2,0
0,2,3,0,1,0
0,0,5,1,1,0
0,1,2,6,4,0
0,3,1,6,1,0
0,4,5,9,17,0
0,6,19,14,17,0
0,1,12,9,1,0
0,11,7,14,8,0
0,10,45,8,16,0
0,0,1,0,0,0
0,3,16,7,3,0
0,24,62,18,9,0
0,1,3,2,0,0
0,2,1,3,2,0
0,4,11,11,2,0
0,3,9,0,0,0
0,2,12,6,4,0
0,3,7,2,0,0
0,6,21,11,2,0
0,0,7,3,0,0
0,1,19,5,0,0
0,0,2,2,1,0
0,9,61,17,9,0
0,1,1,2,1,0
0,0,1,1,0,0
0,2,6,3,6,0
0,4,2,4,0,0
0,1,2,4,2,0
0,9,33,10,6,0
0,26,53,59,20,0
0,0,0,0,1,0
0,0,0,1,0,0
0,24,88,105,12,0
0,5,21,4,5,0
0,3,15,6,8,0
0,2,14,11,2,0
0,1,5,11,4,0
0,0,0,2,0,0
0,0,0,3,0,0
0,8,26,16,6,0
0,0,3,2,0,0
0,2,5,2,2,0
0,0,0,1,1,0
0,4,2,10,1,0
0,6,19,8,2,0
0,2,5,7,2,0
0,2,5,9,0,0
0,10,71,8,2,0
0,6,4,10,3,0
0,4,7,3,0,0
0,0,2,2,1,0
0,3,8,13,3,0
0,3,8,0,1,0
0,10,36,12,14,0
0,0,3,4,5,0
0,0,0,0,1,0
0,6,22,8,7,0
0,7,17,4,3,0
0,1,1,1,0,0
0,6,12,8,6,0
0,9,34,13,10,0
0,13,34,24,9,0
0,4,34,5,9,0
0,1,3,3,1,0
0,0,5,1,2,0
0,1,0,0,1,0
0,3,2,1,2,0
0,0,0,0,1,0
0,0,30,0,0,0
0,0,1,1,0,0
0,1,4,0,0,0
0,1,6,9,5,0
0,0,8,0,2,0
0,2,24,1,1,0
0,4,31,17,23,0
0,1,12,4,3,0
0,2,7,2,1,0
0,8,2,4,3,0
0,0,1,4,3,0
0,0,0,10,1,0
0,3,17,5,5,0
0,5,35,4,3,0
0,0,5,1,2,0
0,0,5,0,0,0
0,2,21,4,5,0
0,0,4,0,1,0
0,5,1,3,0,0
0,4,18,1,3,0
0,0,18,1,11,0
0,0,5,0,8,0
0,3,43,1,2,0
0,2,23,4,1,0
0,4,8,3,3,0
0,8,38,1,4,0
0,3,13,4,2,0
0,4,21,8,2,0
0,4,7,21,4,0
0,0,0,1,0,0
0,1,4,2,1,0
0,10,38,6,25,0
0,0,1,1,0,0
0,1,3,2,1,0
0,4,19,4,6,0
0,0,0,2,0,0
0,3,17,5,1,0
0,0,4,3,1,0
0,3,12,43,7,0
0,0,2,0,0,0
0,3,3,7,0,0
0,0,19,1,2,0
0,11,34,15,8,0
0,1,37,7,9,0
0,5,3,3,2,0
0,8,23,8,12,0
0,0,1,0,2,0
0,0,1,1,1,0
0,0,3,0,1,0
0,0,2,3,3,0
0,0,11,0,0,0
0,1,21,7,1,0
0,0,6,0,1,0
0,0,1,1,2,0
0,0,8,0,0,0
0,0,1,0,0,0
0,0,1,0,2,0
0,0,7,4,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,1,1,0,0
0,0,8,0,1,0
0,0,2,4,2,0
0,0,2,0,2,0
0,0,12,1,0,0
0,0,11,4,0,0
0,0,4,0,0,0
0,6,26,4,0,0
0,2,6,0,0,0
0,16,91,9,38,0
0,5,25,2,2,0
0,25,204,68,204,0
0,5,9,0,1,0
0,1,128,59,61,0
0,1,59,9,30,0
0,0,4,0,0,0
0,5,87,9,59,0
0,2,12,1,2,0
0,5,14,0,0,0
0,5,55,9,14,0
0,15,84,18,24,0
0,3,16,3,6,0
0,8,53,11,40,0
0,21,169,44,18,0
0,5,12,0,12,0
0,9,69,21,5,0
0,5,62,28,10,0
0,14,160,46,70,0
0,4,55,15,32,0
0,4,30,22,21,0
0,0,7,1,2,0
0,0,22,16,18,0
0,0,11,18,8,0
0,10,62,10,20,0
0,0,15,13,8,0
0,0,24,3,10,0
0,3,56,27,27,0
0,8,85,16,21,0
0,0,18,18,16,0
0,0,18,4,11,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,4,37,3,5,0
0,39,67,17,3,0
0,1,36,5,21,0
0,0,10,1,5,0
0,9,70,11,16,0
0,2,22,5,9,0
0,2,13,3,3,0
0,3,23,1,16,0
0,2,16,2,2,0
0,0,7,0,4,0
0,1,5,0,3,0
0,4,80,15,12,0
0,1,5,3,3,0
0,0,10,1,4,0
0,7,116,51,63,0
0,1,15,1,5,0
0,8,17,1,4,0
0,2,12,2,2,0
0,2,4,0,1,0
0,25,40,3,1,0
0,10,33,19,2,0
0,4,23,25,10,0
0,0,13,3,2,0
0,23,67,47,3,0
0,3,9,0,0,0
0,0,30,19,4,0
0,0,10,1,2,0
0,12,55,5,6,0
0,4,11,10,2,0
0,1,18,10,2,0
0,0,67,23,37,0
0,2,28,18,15,0
0,49,135,13,9,0
0,3,53,39,41,0
0,1,2,0,1,0
0,8,22,4,1,0
0,3,6,0,0,0
0,5,18,7,11,0
0,2,22,2,2,0
0,14,205,15,46,0
0,1,62,14,28,0
0,5,10,0,0,0
0,9,202,44,173,0
0,4,15,0,0,0
0,11,106,37,36,0
0,3,79,20,27,0
0,36,126,25,4,0
0,0,14,8,1,0
0,5,25,1,7,0
0,3,23,6,0,0
0,3,7,0,0,0
0,12,69,13,4,0
0,1,19,0,3,0
0,2,13,1,2,0
0,36,122,10,4,0
0,2,5,0,1,0
0,2,5,0,2,0
0,2,8,0,0,0
0,71,161,51,3,0
0,2,25,7,1,0
0,9,38,0,5,0
0,8,18,0,2,0
0,0,5,0,1,0
0,6,14,4,2,0
0,3,14,0,0,0
0,10,28,2,2,0
0,15,60,17,1,0
0,9,24,11,1,0
0,0,7,3,1,0
0,2,35,13,5,0
0,6,108,16,1,0
0,7,26,7,1,0
0,13,135,32,15,0
0,11,112,41,51,0
0,6,19,7,1,0
0,5,109,26,33,0
0,13,188,42,59,0
0,2,4,0,0,0
0,14,43,11,1,0
0,3,51,6,9,0
0,79,207,71,40,0
0,1,31,4,9,0
0,0,4,0,0,0
0,0,2,0,4,0
