I,R,C,W,E,F
0,0,1,0,0,0
0,0,1,0,0,0
0,1,6,0,4,0
0,1,4,2,3,0
0,2,70,9,2,0
0,0,48,4,3,0
0,0,49,4,3,0
0,0,50,4,4,0
0,1,7,0,3,0
0,0,6,0,5,0
0,5,8,1,6,0
0,1,4,1,3,0
0,1,46,3,3,0
0,0,39,4,3,0
0,0,40,2,3,0
0,0,38,4,3,0
0,0,38,4,4,0
0,1,7,0,3,0
0,1,5,0,5,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,3,0,1,0
0,5,15,0,5,0
0,1,4,2,3,0
0,0,3,1,3,0
0,2,89,12,2,0
0,0,92,2,3,0
0,1,84,3,3,0
0,0,90,4,3,0
0,2,84,4,3,0
0,1,84,4,3,0
0,2,81,4,3,0
0,0,83,3,3,0
0,0,85,4,3,0
0,0,85,4,3,0
0,0,91,3,2,0
0,0,92,4,4,0
0,1,22,0,5,0
0,8,20,0,8,0
0,2,4,2,5,0
0,1,72,3,3,0
0,1,69,3,3,0
0,0,72,4,3,0
0,1,9,0,3,0
0,1,6,1,7,0
0,0,1,0,0,0
0,0,1,0,0,0
0,2,11,0,4,0
0,1,4,2,3,0
0,2,86,11,2,0
0,0,87,11,2,0
0,0,92,4,3,0
0,0,93,4,3,0
0,0,95,4,3,0
0,0,95,4,3,0
0,0,81,4,3,0
0,0,88,4,3,0
0,0,87,4,4,0
0,1,13,0,4,0
0,1,8,2,8,0
0,1,6,0,1,0
0,0,7,0,1,0
0,2,4,1,4,0
0,2,5,0,1,0
0,1,92,3,3,0
0,0,68,4,4,0
0,1,20,0,3,0
0,1,18,1,6,0
0,0,2,0,1,0
0,1,5,2,1,0
0,262,1,0,0,0
