I,R,C,W,E,F
0,0,25,0,4,0
0,14,14,0,0,0
0,2,17,25,6,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,14,0,0,0
0,1,15,10,3,0
0,0,10,4,0,0
0,0,1,0,0,0
0,0,20,2,4,0
0,0,8,0,0,0
0,0,30,1,5,0
0,0,1,0,0,0
0,0,9,0,0,0
0,0,19,18,10,0
0,2,25,4,5,0
0,1,12,2,1,0
0,3,15,5,0,0
0,2,5,0,0,0
0,2,51,18,22,0
0,1,30,7,1,0
0,0,61,13,6,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,8,1,0,0
0,0,5,2,1,0
0,0,0,0,1,0
0,0,14,1,2,0
0,0,30,0,0,0
0,0,2,1,0,0
0,1,10,9,2,0
0,0,0,0,1,0
0,0,11,2,0,0
0,0,1,0,0,0
0,0,10,0,0,0
0,0,31,15,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,6,39,2,3,0
0,1,35,6,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,9,2,4,0
0,0,15,6,0,0
0,0,8,1,0,0
0,12,6,0,0,0
