I,R,C,W,E,F
0,0,1,0,1,0
0,0,1,0,0,0
0,0,3,0,0,0
0,5,45,4,10,0
0,35,1,0,0,0
0,0,1,0,0,0
0,1,8,3,4,0
0,1,4,0,2,0
0,9,18,10,6,0
0,1,4,0,1,0
0,1,9,1,7,0
0,6,44,3,7,0
0,0,4,0,0,0
0,2,3,3,6,0
0,0,6,2,3,0
0,1,18,1,4,0
0,0,24,0,0,0
0,4,7,10,2,0
0,0,25,1,1,0
0,0,4,1,3,0
0,0,2,2,1,0
0,1,2,1,2,0
0,11,364,19,15,0
0,0,2,1,2,0
0,5,33,33,9,0
0,5,13,1,1,0
0,2,15,4,5,0
0,0,8,1,1,0
0,11,76,26,11,0
0,0,16,6,4,0
0,1,28,8,5,0
0,1,16,20,4,0
0,10,48,13,16,0
0,6,90,46,9,0
0,2,14,9,4,0
0,5,22,2,1,0
0,0,7,2,5,0
0,1,30,0,2,0
0,1,22,5,2,0
0,1,1,0,0,0
0,0,2,0,0,0
0,0,6,2,3,0
0,5,19,6,6,0
0,7,10,13,2,0
0,2,11,1,2,0
0,2,8,8,1,0
0,1,7,1,3,0
0,5,39,35,7,0
0,3,22,2,2,0
0,5,61,33,7,0
0,11,63,51,8,0
0,0,1,0,0,0
0,5,16,4,4,0
0,13,62,41,7,0
0,5,14,5,2,0
0,7,32,4,3,0
0,4,26,21,4,0
0,11,19,58,5,0
0,9,51,89,13,0
0,0,5,0,1,0
0,6,31,29,7,0
0,2,17,0,1,0
0,0,7,0,0,0
0,1,23,2,1,0
0,0,8,1,2,0
0,7,34,26,7,0
0,0,27,2,16,0
0,2,25,2,5,0
0,1,14,2,0,0
0,1,3,0,1,0
0,3,25,0,0,0
0,0,1,0,1,0
0,5,21,20,5,0
0,4,41,5,7,0
0,7,61,5,3,0
0,1,26,5,2,0
0,3,7,6,4,0
0,6,41,9,8,0
0,4,11,4,2,0
0,0,10,0,0,0
0,1,3,0,0,0
0,0,5,0,6,0
0,2,30,0,1,0
0,5,22,5,3,0
0,0,2,0,4,0
0,0,1,0,0,0
0,2,23,18,8,0
0,4,9,8,13,0
0,11,111,52,12,0
0,1,2,0,0,0
0,1,4,1,3,0
0,0,1,1,1,0
0,0,0,0,1,0
0,0,6,0,1,0
0,2,36,6,9,0
0,3,41,12,6,0
0,2,33,18,6,0
0,1,9,1,5,0
0,0,7,0,0,0
