I,R,C,W,E,F
0,0,4,0,0,0
0,1,3,0,3,0
0,0,12,4,5,0
0,0,3,0,0,0
0,0,1,0,0,0
0,3,7,4,0,0
0,0,1,0,0,0
0,3,8,4,2,0
0,0,13,6,2,0
0,0,1,2,0,0
0,0,3,0,1,0
0,1,15,0,17,0
0,0,1,0,0,0
0,1,5,0,9,0
0,1,7,2,8,0
0,0,2,0,0,0
0,0,1,0,1,0
0,1,4,3,4,0
0,1,3,5,0,0
0,5,17,8,6,0
0,0,2,2,3,0
0,2,5,1,4,0
0,0,1,2,0,0
0,0,1,0,0,0
0,0,1,0,1,0
0,1,2,0,0,0
0,2,5,2,2,0
0,1,37,6,10,0
0,0,2,0,1,0
0,0,1,1,2,0
0,0,2,0,4,0
0,0,1,0,0,0
0,1,1,0,2,0
0,1,11,3,6,0
0,3,18,20,2,0
0,2,16,1,17,0
0,0,2,0,2,0
0,0,6,0,2,0
0,0,1,0,0,0
0,1,6,3,1,0
0,0,1,1,1,0
0,1,12,3,4,0
0,2,35,6,32,0
0,0,1,1,1,0
0,1,14,2,3,0
0,0,1,0,2,0
0,2,5,5,3,0
0,2,8,5,4,0
0,5,12,4,1,0
0,3,14,6,3,0
0,5,26,12,10,0
0,2,67,23,49,0
0,0,3,0,1,0
0,0,2,0,0,0
0,1,7,1,2,0
0,0,3,0,1,0
0,1,2,0,2,0
0,0,7,2,1,0
0,0,1,0,0,0
0,31,71,56,13,0
0,3,36,6,6,0
0,11,122,61,9,0
0,1,16,4,4,0
0,1,15,1,2,0
0,0,11,1,0,0
0,3,17,1,2,0
0,0,1,2,1,0
0,5,47,9,3,0
0,10,99,41,13,0
0,0,10,0,0,0
0,1,3,3,1,0
0,1,4,3,2,0
0,6,32,3,7,0
0,3,15,8,6,0
0,1,17,8,1,0
0,6,59,12,9,0
0,2,4,5,2,0
0,0,1,0,0,0
0,0,9,1,1,0
0,1,9,5,7,0
0,5,30,3,5,0
0,2,5,2,5,0
0,8,68,20,20,0
0,8,34,10,6,0
0,1,1,1,3,0
0,13,4,0,8,0
0,3,14,53,13,0
0,2,4,2,1,0
0,0,6,3,0,0
0,0,1,0,1,0
0,4,47,19,10,0
0,0,3,0,1,0
0,6,17,33,14,0
0,0,1,2,0,0
0,12,47,17,14,0
0,0,4,0,3,0
0,1,13,4,5,0
0,1,20,9,4,0
0,2,78,14,74,0
0,53,362,60,327,0
0,29,103,18,141,0
0,5,64,14,43,0
0,2,18,0,4,0
0,3,23,2,33,0
0,2,24,1,6,0
0,0,9,0,1,0
0,2,23,4,8,0
0,0,9,2,5,0
0,1,7,3,5,0
0,0,1,0,0,0
