I,R,C,W,E,F
0,0,0,1,0,0
0,0,0,14,0,0
0,0,2,0,0,0
0,27,25,16,32,0
0,3,4,2,2,0
0,3,58,3,7,0
0,1,2,0,2,0
0,3,4,0,5,0
0,0,2,0,3,0
0,8,42,2,33,0
0,3,7,3,4,0
0,2,6,3,2,0
0,3,11,1,4,0
0,0,1,0,1,0
0,1,8,0,3,0
0,1,4,1,2,0
0,2,20,2,17,0
0,0,11,0,1,0
0,1,4,1,1,0
0,0,1,6,0,0
0,5,89,3,33,0
0,0,2,0,1,0
0,2,30,9,21,0
0,6,84,25,58,0
0,0,1,0,1,0
0,0,8,12,7,0
0,0,1,1,0,0
0,0,2,0,0,0
0,9,6,6,8,0
0,7,9,4,3,0
0,0,17,1,4,0
0,1,2,0,2,0
0,1,8,7,5,0
0,0,6,0,4,0
0,0,10,2,10,0
0,0,1,0,1,0
0,1,16,0,2,0
0,1,6,0,2,0
0,1,3,1,1,0
0,6,29,8,15,0
0,0,9,1,1,0
0,0,0,1,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,3,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,9,14,4,8,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,5,0,0,0
0,0,2,1,0,0
0,0,2,0,0,0
0,0,6,4,0,0
0,0,4,0,0,0
0,0,6,0,3,0
0,0,2,0,0,0
0,0,5,1,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,6,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,2,0
0,1,8,0,3,0
0,0,2,0,1,0
0,0,6,2,4,0
0,0,4,0,0,0
0,0,2,1,0,0
0,0,2,0,0,0
0,0,5,3,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,4,1,1,0
0,1,2,0,1,0
0,0,1,3,1,0
0,1,16,3,8,0
0,1,27,1,2,0
0,1,30,1,2,0
0,1,32,0,1,0
0,1,12,1,2,0
0,0,13,3,7,0
0,0,2,0,1,0
0,0,13,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,1,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,9,3,1,0
0,0,4,0,0,0
0,0,2,34,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,1,0
0,0,2,0,1,0
0,0,2,0,0,0
0,0,5,0,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,5,2,1,0
0,1,7,0,0,0
0,1,18,2,13,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,1,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,6,3,1,0
0,0,5,1,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,6,0,0,0
0,0,4,0,0,0
0,0,4,3,0,0
0,0,2,0,0,0
0,0,5,1,0,0
0,3,6,2,4,0
0,2,7,6,3,0
0,0,2,0,1,0
0,1,11,2,3,0
0,3,7,2,0,0
0,1,6,2,3,0
0,0,2,0,1,0
0,0,15,2,6,0
0,0,4,0,0,0
0,0,2,2,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,2,3,0,1,0
0,1,2,0,1,0
0,1,5,0,1,0
0,2,3,0,2,0
0,0,7,2,2,0
0,1,27,1,2,0
0,1,27,0,1,0
0,1,9,1,2,0
0,0,3,0,2,0
0,0,2,0,1,0
0,7,22,3,11,0
0,0,6,2,8,0
0,1,5,0,0,0
0,0,2,1,0,0
0,0,2,0,0,0
0,0,4,0,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,4,0,1,0
0,0,3,0,2,0
0,0,2,0,1,0
0,0,3,0,2,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,4,0,0,0
0,0,7,0,1,0
0,0,2,0,0,0
0,0,7,0,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,6,3,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,1,24,1,2,0
0,0,25,2,2,0
0,1,27,0,1,0
0,1,9,1,2,0
0,0,3,1,0,0
0,0,2,0,0,0
0,0,5,3,0,0
0,0,1,1,0,0
0,0,4,0,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,1,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,6,3,0,0
0,0,4,0,1,0
0,0,2,2,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,5,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,2,1,1,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,1,9,0,2,0
0,0,4,1,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,6,3,0,0
0,0,4,0,1,0
0,1,23,3,4,0
0,0,37,1,2,0
0,2,23,2,3,0
0,2,26,2,3,0
0,1,23,3,3,0
0,2,26,4,3,0
0,1,28,4,3,0
0,1,23,3,3,0
0,1,29,4,3,0
0,0,29,4,3,0
0,0,29,4,3,0
0,0,27,4,4,0
0,0,35,4,4,0
0,3,7,4,2,0
0,0,1,13,0,0
0,3,54,1,23,0
0,0,2,0,1,0
0,2,16,2,16,0
0,110,39,10,6,0
0,0,2,0,1,0
0,0,23,6,15,0
0,0,23,1,0,0
0,4,13,2,0,0
0,0,1,0,1,0
