I,R,C,W,E,F
0,0,0,1,0,0
0,0,2,0,0,0
0,29,28,14,36,0
0,3,4,2,2,0
0,3,63,4,6,0
0,1,2,0,2,0
0,0,7,2,5,0
0,0,2,0,3,0
0,10,41,2,34,0
0,2,6,3,2,0
0,3,11,1,4,0
0,1,9,0,3,0
0,1,4,1,2,0
0,2,20,2,16,0
0,0,11,1,2,0
0,1,4,1,1,0
0,9,110,6,37,0
0,0,2,0,1,0
0,2,32,9,28,0
0,6,90,26,58,0
0,0,1,0,1,0
0,0,7,8,3,0
0,0,1,1,0,0
0,0,2,0,0,0
0,11,8,6,9,0
0,7,9,4,2,0
0,0,17,1,4,0
0,1,2,0,2,0
0,1,6,5,4,0
0,0,6,0,4,0
0,0,8,2,10,0
0,1,18,0,2,0
0,1,6,0,2,0
0,1,3,1,1,0
0,6,29,8,15,0
0,0,9,1,1,0
0,0,1,1,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,2,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,2,1,0
0,1,6,0,3,0
0,0,12,0,2,0
0,0,2,0,0,0
0,0,4,0,1,0
0,0,8,1,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,3,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,9,15,4,8,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,10,0,1,0
0,0,2,0,0,0
0,0,2,0,1,0
0,1,17,1,0,0
0,0,6,0,0,0
0,0,2,1,0,0
0,0,2,0,0,0
0,0,6,4,0,0
0,0,5,0,0,0
0,0,7,0,3,0
0,0,2,0,0,0
0,0,4,1,1,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,5,2,0,0
0,0,7,2,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,1,0
0,0,3,1,4,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,5,0,0,0
0,0,2,6,0,0
0,0,2,0,0,0
0,0,4,1,1,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,0,5,0,2,0
0,1,10,0,4,0
0,0,2,0,1,0
0,0,7,2,4,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
