I,R,C,W,E,F
0,0,1,3,1,0
0,2,3,0,1,0
0,6,4,0,13,0
0,2,3,0,6,0
0,0,11,0,5,0
0,1,3,0,7,0
0,3,6,3,9,0
0,0,9,9,8,0
0,0,2,0,0,0
0,0,3,0,1,0
0,21,0,0,0,0
0,1,3,0,1,0
0,0,2,0,0,0
0,0,1,0,0,0
0,1,2,0,1,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,2,6,0,1,0
0,0,1,0,0,0
0,1,4,1,0,0
0,9,14,2,1,0
0,0,3,16,1,0
0,0,12,13,16,0
0,7,15,15,1,0
0,7,9,0,4,0
0,2,3,2,1,0
0,0,1,0,1,0
0,2,4,2,1,0
0,1,2,0,3,0
0,1,2,0,1,0
0,1,3,2,3,0
0,1,5,1,0,0
0,1,2,0,2,0
0,2,3,3,1,0
0,0,5,0,1,0
0,2,6,3,1,0
0,1,2,0,1,0
0,4,7,2,1,0
0,0,4,0,1,0
0,0,4,0,4,0
0,1,4,0,1,0
0,0,2,0,0,0
0,0,3,0,0,0
0,1,3,0,3,0
0,0,3,0,4,0
0,1,2,0,1,0
0,0,2,0,1,0
0,3,7,2,2,0
0,1,2,0,2,0
0,0,3,0,5,0
0,0,1,2,0,0
0,1,2,0,1,0
0,5,45,4,12,0
0,0,2,2,0,0
0,5,24,1,7,0
0,4,23,13,11,0
0,1,4,6,4,0
0,0,4,0,1,0
0,0,1,55,0,0
0,0,4,0,2,0
0,0,1,0,1,0
0,1,22,2,17,0
0,7,15,7,0,0
0,2,12,4,5,0
0,1,10,1,3,0
0,5,9,8,0,0
0,8,30,6,16,0
0,0,8,8,5,0
0,4,8,7,4,0
0,0,12,0,0,0
0,0,10,1,2,0
0,4,27,0,10,0
0,29,169,20,9,0
0,5,68,2,6,0
0,1,5,0,1,0
0,3,38,0,9,0
0,1,89,4,29,0
0,1,45,5,17,0
0,0,4,0,5,0
0,2,8,3,4,0
0,5,28,6,8,0
0,0,6,1,1,0
