I,R,C,W,E,F
0,0,3,5,0,0
0,0,1,0,0,0
0,0,1,3,0,0
0,0,1,0,0,0
0,5,56,9,4,0
0,3,6,0,2,0
0,0,7,0,4,0
0,8,135,11,21,0
0,2,6,2,3,0
0,32,177,29,51,0
0,3,37,6,10,0
0,7,63,9,11,0
0,0,23,0,6,0
0,2,11,3,6,0
0,1,3,0,0,0
0,0,17,0,3,0
0,5,26,4,6,0
0,0,16,0,1,0
0,0,1,4,1,0
0,0,11,0,0,0
0,0,8,0,1,0
0,0,15,1,3,0
0,0,1,1,1,0
0,2,3,1,2,0
0,0,15,1,0,0
0,4,12,5,3,0
0,0,24,6,6,0
0,7,44,9,12,0
0,1,20,1,3,0
0,10,35,0,3,0
0,1,4,1,1,0
0,2,12,0,2,0
0,1,31,8,4,0
0,3,6,4,0,0
0,6,17,5,9,0
0,2,2,0,0,0
0,2,45,84,37,0
0,0,44,88,2,0
0,2,11,87,5,0
0,2,54,87,4,0
0,2,58,87,2,0
0,2,77,86,10,0
0,2,54,88,4,0
0,2,52,88,3,0
0,2,53,88,4,0
0,2,57,88,6,0
0,2,54,88,4,0
0,2,130,87,2,0
0,2,74,87,2,0
0,2,76,87,2,0
0,2,85,88,2,0
0,2,74,87,2,0
0,2,77,88,2,0
0,2,78,87,2,0
0,2,78,87,2,0
0,2,119,87,2,0
0,2,105,87,2,0
0,2,67,88,2,0
0,0,98,88,3,0
0,1,107,2,3,0
0,2,107,4,4,0
0,1,109,3,3,0
0,1,107,4,3,0
0,1,102,4,3,0
0,3,100,1,2,0
0,1,101,2,2,0
0,0,104,2,2,0
0,1,100,1,2,0
0,1,97,1,2,0
0,1,11,12,6,0
0,0,17,0,0,0
0,0,15,7,5,0
0,2,138,6,5,0
0,1,9,0,2,0
0,3,38,3,3,0
0,15,225,24,21,0
0,7,40,7,4,0
0,1,20,4,3,0
0,6,63,20,11,0
0,0,17,1,3,0
0,2,21,2,2,0
0,7,56,15,8,0
0,0,13,0,3,0
0,6,23,22,9,0
0,0,8,1,2,0
0,1,2,1,1,0
0,2,17,6,4,0
0,0,12,8,2,0
0,2,50,8,2,0
0,2,50,9,2,0
0,2,45,8,2,0
0,0,23,2,3,0
0,1,9,2,1,0
0,2,6,1,1,0
0,2,17,7,5,0
0,0,11,9,2,0
0,2,22,9,2,0
0,2,46,10,2,0
0,2,44,9,2,0
0,0,13,0,2,0
0,0,8,1,3,0
0,2,26,6,2,0
0,2,50,6,2,0
0,2,57,6,2,0
0,2,42,7,2,0
0,2,54,6,2,0
0,2,46,6,2,0
0,2,56,7,3,0
0,2,47,7,3,0
0,2,48,7,3,0
0,0,22,0,2,0
0,0,2,0,1,0
0,1,17,2,2,0
0,1,12,1,4,0
0,2,43,8,2,0
0,2,47,7,2,0
0,0,4,0,2,0
0,1,16,2,3,0
0,1,2,1,1,0
0,2,10,1,3,0
0,2,18,6,5,0
0,2,11,8,2,0
0,2,14,8,2,0
0,2,16,7,4,0
0,2,23,7,2,0
0,2,45,7,2,0
0,2,45,7,2,0
0,2,30,7,2,0
0,0,5,0,2,0
0,0,7,1,2,0
0,1,2,1,1,0
0,2,17,6,5,0
0,2,9,9,2,0
0,0,11,8,2,0
0,2,23,8,2,0
0,2,44,8,2,0
0,2,54,8,2,0
0,2,46,8,2,0
0,2,43,8,2,0
0,0,10,1,2,0
0,1,2,1,1,0
0,0,7,2,5,0
0,2,18,7,4,0
0,2,22,8,2,0
0,2,48,8,2,0
0,2,44,8,2,0
0,2,43,8,2,0
0,3,7,2,2,0
0,0,7,0,1,0
0,2,35,7,2,0
0,2,46,7,2,0
0,0,9,0,2,0
0,2,6,2,5,0
0,2,6,3,6,0
0,2,6,1,2,0
0,2,18,12,3,0
0,0,11,13,2,0
0,2,23,13,2,0
0,2,47,13,2,0
0,2,44,13,2,0
0,1,11,2,5,0
0,0,12,0,2,0
0,0,14,6,7,0
0,0,24,3,10,0
0,1,11,3,5,0
0,1,16,1,3,0
0,2,43,7,2,0
0,1,34,3,3,0
0,0,10,0,2,0
0,0,7,0,1,0
0,1,12,1,1,0
0,2,6,1,1,0
0,2,34,8,2,0
0,2,61,8,2,0
0,2,49,7,2,0
0,2,47,14,2,0
0,2,47,8,2,0
0,2,46,9,2,0
0,2,58,7,2,0
0,0,26,0,2,0
0,0,2,0,1,0
0,0,81,37,10,0
0,0,1,2,0,0
0,0,1,0,0,0
0,2,5,0,1,0
0,8,41,2,8,0
0,15,53,4,14,0
0,0,7,1,3,0
0,2,5,0,4,0
0,3,8,0,2,0
0,15,163,13,9,0
0,7,29,9,2,0
0,1,7,0,0,0
0,2,3,0,0,0
0,0,4,0,0,0
0,0,44,3,8,0
0,1,37,0,2,0
0,1,7,0,1,0
0,2,44,1,2,0
0,0,7,0,0,0
0,1,7,0,1,0
0,5,189,5,4,0
0,2,55,2,0,0
0,0,7,0,2,0
0,0,49,5,3,0
0,1,23,1,3,0
0,1,105,5,12,0
0,2,219,4,8,0
0,3,117,6,14,0
