I,R,C,W,E,F
0,0,3,3,0,0
0,0,1,0,0,0
0,0,1,3,0,0
0,0,1,0,0,0
0,5,63,13,5,0
0,3,6,0,2,0
0,0,7,0,4,0
0,9,130,14,22,0
0,2,6,2,3,0
0,34,197,34,54,0
0,6,40,11,11,0
0,7,81,8,13,0
0,0,23,0,6,0
0,2,11,3,6,0
0,10,70,1,7,0
0,1,3,0,0,0
0,0,14,0,2,0
0,3,27,4,7,0
0,0,3,0,3,0
0,3,32,27,7,0
0,0,2,2,1,0
0,0,11,0,0,0
0,0,8,0,1,0
0,0,17,2,4,0
0,0,1,1,1,0
0,0,18,1,0,0
0,4,12,5,3,0
0,1,18,6,7,0
0,7,42,10,12,0
0,0,12,0,1,0
0,1,20,1,3,0
0,1,6,0,1,0
0,3,12,2,2,0
0,3,6,1,2,0
0,3,13,1,2,0
0,12,99,2,5,0
0,1,4,1,1,0
0,2,27,3,4,0
0,3,6,4,0,0
0,2,2,4,2,0
0,2,2,0,0,0
0,2,45,80,37,0
0,0,44,84,2,0
0,2,11,82,5,0
0,2,54,83,4,0
0,2,58,83,2,0
0,2,77,82,10,0
0,2,54,84,4,0
0,2,52,84,3,0
0,2,53,84,4,0
0,2,57,84,6,0
0,2,54,84,4,0
0,2,130,82,2,0
0,2,74,82,2,0
0,2,76,82,2,0
0,2,85,83,2,0
0,2,74,82,2,0
0,2,77,83,2,0
0,2,78,82,2,0
0,2,78,82,2,0
0,2,119,82,2,0
0,2,105,82,2,0
0,2,67,83,2,0
0,0,98,83,3,0
0,1,107,2,3,0
0,2,107,4,4,0
0,1,109,3,3,0
0,1,107,4,3,0
0,1,102,4,3,0
0,3,100,1,2,0
0,1,101,2,2,0
0,0,104,2,2,0
0,1,100,1,2,0
0,1,97,1,2,0
0,0,82,3,3,0
0,1,97,4,3,0
0,1,77,3,3,0
0,1,9,13,6,0
0,0,8,0,0,0
0,0,10,7,5,0
0,2,31,8,4,0
0,1,2,1,3,0
0,3,6,3,3,0
0,14,89,17,20,0
0,7,19,7,4,0
0,1,22,10,7,0
0,7,32,21,12,0
0,0,7,2,3,0
0,2,12,2,2,0
0,4,48,13,8,0
0,0,10,1,3,0
0,0,4,15,1,0
0,5,14,6,6,0
0,0,8,1,2,0
0,2,17,7,4,0
0,0,12,9,2,0
0,2,50,9,2,0
0,2,50,10,2,0
0,2,45,9,2,0
0,0,11,2,4,0
0,0,5,1,1,0
0,2,6,1,1,0
0,2,17,7,5,0
0,0,11,9,2,0
0,2,22,9,2,0
0,2,46,10,2,0
0,2,44,9,2,0
0,0,13,0,2,0
0,0,2,0,1,0
0,2,6,1,2,0
0,2,26,6,2,0
0,2,50,6,2,0
0,2,57,6,2,0
0,2,42,7,2,0
0,2,54,6,2,0
0,2,46,6,2,0
0,2,56,7,3,0
0,2,47,7,3,0
0,2,48,7,3,0
0,0,23,4,3,0
0,1,20,2,3,0
0,0,24,4,3,0
0,0,8,2,2,0
0,1,17,2,2,0
0,1,12,1,4,0
0,2,43,8,2,0
0,2,47,7,2,0
0,0,4,0,3,0
0,1,16,2,3,0
0,2,10,1,3,0
0,2,18,6,5,0
0,2,11,8,2,0
0,2,14,8,2,0
0,2,16,7,4,0
0,2,23,7,2,0
0,2,45,7,2,0
0,2,45,7,2,0
0,2,30,7,2,0
0,1,47,4,3,0
0,0,4,0,2,0
0,0,7,1,2,0
0,2,17,6,5,0
0,2,9,9,2,0
0,0,11,8,2,0
0,2,23,8,2,0
0,2,44,8,2,0
0,2,54,8,2,0
0,2,46,8,2,0
0,2,43,8,2,0
0,0,10,1,2,0
0,1,2,1,1,0
