I,R,C,W,E,F
0,0,25,2,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,1,32,1,6,0
0,3,13,2,3,0
0,0,8,0,1,0
0,0,7,5,5,0
0,0,2,0,1,0
0,0,3,6,0,0
0,0,3,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,3,2,1,0
0,1,4,0,1,0
0,0,1,0,0,0
0,2,3,0,2,0
0,1,13,2,3,0
0,8,24,1,5,0
0,1,36,3,3,0
0,0,28,4,3,0
0,0,36,3,3,0
0,0,31,2,3,0
0,1,25,4,3,0
0,2,24,4,3,0
0,1,26,4,3,0
0,1,26,4,3,0
0,1,26,4,3,0
0,0,28,4,3,0
0,1,27,4,3,0
0,0,8,4,1,0
0,4,46,9,17,0
0,5,4,5,0,0
0,2,3,0,1,0
0,10,39,0,17,0
0,7,36,6,10,0
0,6,27,5,5,0
0,61,152,14,18,0
0,0,3,0,2,0
0,2,5,0,1,0
0,2,10,9,3,0
0,1,3,1,2,0
0,0,3,0,2,0
0,4,10,5,3,0
0,0,4,2,1,0
0,1,2,1,4,0
0,4,8,0,3,0
0,0,9,2,4,0
0,0,2,0,0,0
