I,R,C,W,E,F
0,0,2,0,2,0
0,0,1,0,0,0
0,10,20,29,9,0
0,0,8,0,2,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,2,4,2,1,0
0,0,8,3,5,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,9,4,1,0
0,2,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,3,0,10,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,1,0,6,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,3,0,2,0
0,0,1,0,1,0
0,0,1,0,0,0
0,2,5,4,4,0
0,2,2,0,2,0
0,0,19,0,0,0
0,0,9,2,7,0
0,0,1,0,1,0
0,0,1,0,0,0
0,0,3,1,4,0
0,0,7,0,1,0
0,1,6,0,4,0
0,0,12,2,6,0
0,0,12,2,5,0
0,2,4,1,2,0
0,0,1,4,0,0
0,0,1,0,0,0
0,0,20,9,4,0
0,1,7,0,2,0
0,0,4,0,1,0
0,0,3,0,1,0
0,0,6,0,4,0
0,0,2,0,0,0
0,1,3,3,3,0
0,0,3,0,0,0
