I,R,C,W,E,F
0,0,1,0,0,0
0,2,4,3,4,0
0,1,24,9,4,0
0,1,3,0,1,0
0,2,3,0,1,0
0,0,4,1,1,0
0,5,78,24,15,0
0,0,15,6,0,0
0,0,8,9,0,0
0,4,28,19,9,0
0,3,5,1,0,0
0,6,23,3,2,0
0,4,7,14,1,0
0,1,6,2,1,0
0,3,1,2,0,0
0,48,6,0,4,0
0,1,6,4,1,0
0,0,15,11,6,0
0,15,14,7,5,0
0,5,13,28,2,0
0,1,2,2,2,0
0,0,1,1,2,0
0,0,3,2,3,0
0,0,7,0,2,0
0,0,6,0,1,0
0,0,2,0,0,0
0,16,11,53,5,0
0,2,5,0,2,0
0,11,82,7,2,0
0,2,33,1,7,0
0,2,47,2,5,0
0,0,33,6,1,0
0,0,24,9,1,0
0,0,16,2,1,0
0,0,1,0,0,0
0,4,11,2,2,0
0,3,7,2,1,0
0,7,19,2,4,0
0,5,13,2,10,0
0,11,28,3,6,0
0,0,24,3,5,0
0,8,48,2,7,0
0,29,33,1,1,0
0,2,14,3,2,0
0,11,42,4,9,0
0,1,11,0,2,0
0,5,35,0,3,0
0,2,9,0,5,0
0,10,161,10,30,0
0,9,37,6,5,0
0,10,69,7,29,0
0,5,35,4,19,0
0,11,60,14,3,0
0,3,31,0,10,0
0,7,27,9,1,0
0,1,8,2,2,0
0,52,186,28,28,0
0,0,4,2,1,0
0,1,0,0,1,0
0,2,11,2,4,0
0,0,1,1,0,0
0,3,16,2,4,0
0,0,6,6,3,0
0,1,4,1,3,0
0,0,28,0,0,0
0,2,19,5,6,0
0,3,2,3,1,0
0,0,2,2,1,0
0,0,5,0,0,0
0,2,14,5,1,0
0,0,0,2,0,0
0,0,2,3,1,0
0,1,17,0,6,0
0,0,0,1,1,0
0,4,5,29,6,0
0,0,8,3,0,0
