I,R,C,W,E,F
0,0,1,0,0,0
0,0,1,0,0,0
0,4,8,3,0,0
0,8,8,11,2,0
0,0,4,2,0,0
0,11,22,1,0,0
0,1,3,0,0,0
0,2,2,0,0,0
0,3,9,3,0,0
0,3,3,0,0,0
0,0,2,4,0,0
0,0,4,2,0,0
0,9,3,5,0,0
0,0,3,1,0,0
0,0,2,0,0,0
0,0,18,15,1,0
0,0,11,0,0,0
0,0,1,0,0,0
0,4,19,2,0,0
0,0,2,0,0,0
0,4,6,4,0,0
0,0,8,3,0,0
0,0,2,1,0,0
0,0,1,1,0,0
0,0,4,2,2,0
0,0,5,0,1,0
0,0,2,0,0,0
0,2,1,1,0,0
0,0,6,1,0,0
0,0,2,0,0,0
0,2,1,1,1,0
0,0,1,0,0,0
0,0,8,3,2,0
0,5,43,10,3,0
0,1,3,0,3,0
0,0,11,2,1,0
0,0,1,0,0,0
0,0,3,1,0,0
0,9,26,2,0,0
0,1,1,3,1,0
0,0,7,0,0,0
0,1,3,4,0,0
0,13,13,27,0,0
0,3,1,2,0,0
0,0,1,0,0,0
0,0,25,3,0,0
0,0,7,3,0,0
0,0,12,4,0,0
0,1,3,0,0,0
0,0,4,2,0,0
0,0,6,6,0,0
0,0,9,1,0,0
0,1,43,8,2,0
0,0,3,0,0,0
0,0,7,2,0,0
0,13,23,1,1,0
0,1,51,8,1,0
0,2,9,2,0,0
0,0,9,0,1,0
0,2,170,36,1,0
0,0,25,12,0,0
0,0,8,0,0,0
0,1,42,2,1,0
0,1,39,11,1,0
0,0,19,6,1,0
0,0,9,0,1,0
0,2,124,4,1,0
0,0,20,2,1,0
0,0,12,0,1,0
0,2,6,0,0,0
0,0,9,0,0,0
0,0,3,0,1,0
0,0,4,0,1,0
0,9,39,1,1,0
0,9,21,0,1,0
0,0,7,0,0,0
0,1,3,0,0,0
0,0,3,0,0,0
0,16,25,0,1,0
0,1,4,0,1,0
0,0,4,0,0,0
0,0,14,1,1,0
0,0,22,9,1,0
0,2,172,0,2,0
0,0,8,0,0,0
0,1,30,0,3,0
0,0,11,0,1,0
0,8,76,57,7,0
0,0,15,0,1,0
0,17,104,0,2,0
0,10,23,2,2,0
0,60,115,1,2,0
0,15,17,11,1,0
0,0,57,0,0,0
0,1,2,2,1,0
0,0,1,0,0,0
0,39,44,6,50,0
0,15,19,0,17,0
0,6,9,0,9,0
0,2,4,0,1,0
0,1,3,0,0,0
0,1,11,0,1,0
0,0,12,0,0,0
0,0,3,0,0,0
0,5,75,1,1,0
0,0,24,0,3,0
0,7,13,0,0,0
0,65,123,3,1,0
