I,R,C,W,E,F
0,0,2,1,0,0
0,25,17,4,1,0
0,0,2,0,0,0
0,0,8,8,1,0
0,1,21,2,1,0
0,0,1,0,0,0
0,1,8,5,11,0
0,0,3,1,0,0
0,1,10,0,2,0
0,0,4,3,0,0
0,0,3,1,1,0
0,0,5,0,1,0
0,0,2,0,1,0
0,1,4,0,0,0
0,0,3,0,3,0
0,0,4,0,0,0
0,1,17,5,6,0
0,1,5,2,0,0
0,3,10,7,2,0
0,0,19,0,3,0
0,1,4,1,2,0
0,0,7,3,4,0
0,6,43,5,9,0
0,0,6,2,1,0
0,3,22,12,12,0
0,0,13,3,1,0
0,0,15,5,1,0
0,3,18,7,2,0
0,3,17,9,6,0
0,0,12,0,1,0
0,0,3,0,0,0
0,0,15,8,1,0
0,1,3,1,0,0
0,12,7,31,1,0
0,0,2,0,0,0
0,1,3,1,0,0
0,1,9,1,4,0
0,7,13,0,4,0
0,0,3,1,0,0
0,0,11,5,0,0
0,7,27,40,0,0
0,1,7,2,0,0
0,0,3,0,0,0
0,0,17,1,1,0
0,0,14,2,1,0
0,0,13,2,1,0
0,0,15,9,3,0
0,1,29,10,1,0
0,0,31,5,3,0
0,1,16,6,4,0
0,0,10,3,1,0
0,0,15,8,1,0
0,1,3,1,0,0
0,12,7,31,1,0
0,0,2,0,0,0
0,1,3,1,0,0
0,0,8,3,4,0
0,0,6,1,4,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,13,4,2,0
0,0,2,0,0,0
0,0,20,3,1,0
0,0,3,1,0,0
