I,R,C,W,E,F
0,0,1,0,0,0
0,0,2,0,1,0
0,6,19,3,0,0
0,1,2,1,0,0
0,0,2,0,0,0
0,0,9,0,1,0
0,0,8,0,0,0
0,7,15,4,0,0
0,0,1,0,0,0
0,1,14,1,0,0
0,1,14,8,3,0
0,0,2,0,0,0
0,4,27,3,4,0
0,0,4,0,0,0
0,0,3,1,0,0
0,0,4,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,10,3,0,0
0,0,9,3,0,0
0,0,10,4,0,0
0,0,5,6,0,0
0,0,6,2,0,0
0,0,5,2,0,0
0,0,9,3,0,0
0,0,5,2,0,0
0,0,5,1,0,0
0,0,5,1,1,0
0,0,4,0,0,0
0,0,9,0,0,0
0,0,11,3,0,0
0,0,7,2,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,8,1,0,0
0,0,7,1,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,5,1,0,0
0,0,7,0,0,0
0,0,6,1,0,0
0,0,3,0,0,0
0,0,9,3,0,0
0,0,3,1,0,0
0,0,3,0,0,0
0,0,8,1,0,0
0,0,6,1,0,0
0,0,6,1,1,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,3,0,0,0
0,0,9,0,0,0
0,0,5,1,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,6,1,0,0
0,1,6,3,0,0
0,0,3,0,0,0
0,0,5,0,0,0
0,0,0,1,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,0,2,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,3,0,0,0
0,0,9,0,0,0
0,0,5,1,1,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,5,1,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,2,9,12,0,0
0,2,15,1,1,0
0,2,34,31,0,0
0,0,3,2,0,0
0,0,8,9,0,0
0,1,10,2,0,0
0,0,2,0,0,0
0,0,4,1,2,0
0,0,1,2,0,0
0,0,11,9,0,0
0,1,20,9,0,0
0,0,2,0,0,0
0,109,3,0,0,0
