I,R,C,W,E,F
0,0,4,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,1,0
0,0,2,0,0,0
0,0,3,0,10,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,11,2,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,10,4,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,34,9,8,0
0,0,0,0,1,0
0,1,21,5,3,0
0,1,12,2,2,0
0,0,6,0,0,0
0,3,12,2,8,0
0,0,4,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,23,14,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,14,22,5,22,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,7,0,1,0
0,0,0,0,1,0
0,3,27,13,2,0
0,1,13,1,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,27,1,11,0
0,0,0,0,1,0
0,0,2,0,12,0
0,2,20,3,4,0
0,4,15,3,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,9,2,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,18,3,6,0
0,5,39,8,6,0
0,21,185,23,8,0
0,13,104,44,19,0
0,2,17,3,0,0
0,0,6,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,6,117,24,11,0
0,1,15,2,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,40,0,8,0
0,0,0,0,1,0
0,1,19,4,4,0
0,10,275,72,10,0
0,1,11,0,2,0
0,0,0,0,1,0
0,5,153,21,2,0
0,4,41,21,5,0
0,3,23,1,10,0
0,1,23,1,3,0
0,0,0,0,1,0
0,2,39,6,7,0
0,0,51,0,1,0
0,0,34,0,3,0
0,0,0,0,1,0
0,3,37,5,3,0
0,3,45,4,20,0
0,3,6,0,1,0
0,0,9,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,0,0,1,0
0,0,0,0,1,0
