I,R,C,W,E,F
0,0,8,6,0,0
0,0,6,2,3,0
0,3,10,4,0,0
0,11,27,9,1,0
0,0,13,2,0,0
0,0,1,3,0,0
0,4,3,1,2,0
0,1,5,6,1,0
0,0,3,0,0,0
0,4,18,5,0,0
0,0,10,0,0,0
0,5,18,8,0,0
0,5,11,7,1,0
0,10,44,26,0,0
0,1,11,0,0,0
0,5,7,0,0,0
0,65,190,43,25,0
0,11,33,2,2,0
0,2,8,0,0,0
0,1,10,6,0,0
0,35,72,1,1,0
0,9,15,2,0,0
0,47,145,7,1,0
0,6,22,3,1,0
0,23,62,0,2,0
0,24,48,4,7,0
0,72,228,10,3,0
0,2,32,3,1,0
0,0,7,0,0,0
0,3,8,0,1,0
0,9,44,4,0,0
0,3,8,0,1,0
0,11,19,0,1,0
0,4,15,7,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,2,1,0,0
0,4,20,7,0,0
0,7,16,3,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,1,22,4,0,0
0,7,5,2,0,0
