I,R,C,W,E,F
0,1,22,4,1,0
0,0,5,0,1,0
0,5,12,0,0,0
0,2,8,2,1,0
0,14,61,9,3,0
0,0,9,2,0,0
0,1,12,3,1,0
0,23,134,8,4,0
0,5,27,10,1,0
0,3,20,5,0,0
0,6,31,7,0,0
0,3,27,12,0,0
0,8,41,23,7,0
0,6,38,15,0,0
0,5,51,14,0,0
0,7,28,14,0,0
0,0,12,1,1,0
0,8,56,27,0,0
0,7,72,18,1,0
0,1,12,4,0,0
0,5,51,18,1,0
0,6,17,5,0,0
0,1,27,6,0,0
0,43,2,0,1,0
0,1,13,1,2,0
0,1,8,2,0,0
0,3,17,1,0,0
0,4,16,4,0,0
0,4,38,11,1,0
0,11,74,6,1,0
0,2,18,4,0,0
0,6,51,10,1,0
0,27,91,14,4,0
0,3,11,1,0,0
0,2,8,4,1,0
0,4,59,0,3,0
0,1,8,0,0,0
0,4,31,4,1,0
0,6,33,3,0,0
0,1,15,1,3,0
0,13,32,11,0,0
0,5,22,1,0,0
0,1,8,0,0,0
0,0,11,1,1,0
0,7,30,15,1,0
0,1,25,6,2,0
0,1,25,1,0,0
0,2,26,6,3,0
0,1,16,3,2,0
0,0,10,3,0,0
0,1,9,2,0,0
0,5,59,3,0,0
0,0,14,0,1,0
0,11,56,12,4,0
0,2,32,2,4,0
0,2,16,0,0,0
0,0,25,4,2,0
0,4,17,6,2,0
0,2,41,8,0,0
0,9,185,26,53,0
0,0,5,3,0,0
0,1,18,10,2,0
0,8,29,7,0,0
0,6,21,7,3,0
0,3,16,4,0,0
0,2,9,0,3,0
0,11,27,8,3,0
0,0,4,0,4,0
0,2,34,2,1,0
0,0,17,0,4,0
0,0,17,0,4,0
0,0,12,0,8,0
0,0,17,0,4,0
0,0,7,0,3,0
0,4,35,5,3,0
0,2,70,5,2,0
0,5,52,8,9,0
0,2,16,0,1,0
0,5,46,3,6,0
0,1,10,1,0,0
