I,R,C,W,E,F
0,0,0,0,1,0
0,0,0,0,1,0
0,0,29,1,2,0
0,2,3,0,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,3,4,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,4,12,0,1,0
0,0,0,0,1,0
0,0,9,3,3,0
0,4,3,0,2,0
0,0,0,0,1,0
0,5,7,0,6,0
0,0,0,0,1,0
0,0,5,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,16,1,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,0,5,0
0,0,0,0,1,0
0,3,7,2,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,7,0,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,2,0,0
0,0,9,0,20,0
0,0,0,0,1,0
0,0,1,3,0,0
0,2,12,2,0,0
0,0,0,0,1,0
0,0,2,1,3,0
0,0,0,0,1,0
0,0,5,0,0,0
0,0,2,1,3,0
0,1,4,22,47,0
0,0,9,0,1,0
0,9,26,2,5,0
0,10,19,0,6,0
0,8,15,1,4,0
0,1,12,3,2,0
0,20,39,2,4,0
0,10,24,0,8,0
0,150,284,25,77,0
0,28,62,4,15,0
0,0,5,0,3,0
0,5,20,6,6,0
0,28,60,3,29,0
0,0,42,0,0,0
0,8,25,0,0,0
0,0,0,0,1,0
0,3,3,0,2,0
0,2,16,5,6,0
0,3,17,3,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,5,0,0,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,2,0,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,6,2,0,0
0,0,0,0,1,0
0,0,3,0,9,0
0,0,2,2,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,11,1,0,0
0,0,1,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,5,0,4,0
0,0,0,0,1,0
0,1,3,0,0,0
0,0,0,0,1,0
0,35,25,8,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,1,0,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,1,0,2,0
0,2,7,0,3,0
0,0,0,0,1,0
0,0,3,0,7,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,6,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,6,1,1,0
0,0,4,0,5,0
0,4,2,1,0,0
0,4,8,0,49,0
0,0,0,0,1,0
0,5,2,0,6,0
0,0,0,0,1,0
0,0,2,0,25,0
0,3,2,2,2,0
0,0,0,0,1,0
0,31,7,0,3,0
0,1,2,0,2,0
0,0,0,0,1,0
0,8,1,0,2,0
0,1,2,0,1,0
0,2,3,0,2,0
0,2,2,0,3,0
0,8,19,3,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,5,43,10,10,0
0,0,1,0,0,0
0,0,1,0,1,0
0,0,0,0,1,0
0,0,17,9,4,0
0,0,1,3,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,15,1,2,0
0,0,4,0,2,0
0,5,10,108,1,0
0,0,1,0,1,0
0,0,0,0,1,0
0,0,5,4,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,9,36,0
0,0,0,1,0,0
0,0,0,0,1,0
0,3,2,1,3,0
0,0,0,0,1,0
0,0,1,0,0,0
0,0,7,3,1,0
0,4,18,7,3,0
0,17,20,0,1,0
0,4,15,2,2,0
0,14,6,6,26,0
0,4,8,1,1,0
0,30,166,39,20,0
0,2,9,0,0,0
0,43,443,32,99,0
0,30,72,1,17,0
0,0,4,4,0,0
0,40,126,25,29,0
0,3,17,0,1,0
0,19,57,4,16,0
0,2,12,0,4,0
0,11,96,22,11,0
0,0,5,0,0,0
0,1,21,5,3,0
0,0,2,0,0,0
0,0,6,4,0,0
0,1,4,3,1,0
0,6,20,8,4,0
0,4,12,5,2,0
0,0,21,1,1,0
0,4,12,10,6,0
0,0,0,0,1,0
