I,R,C,W,E,F
0,3,80,6,0,0
0,14,156,22,2,0
0,4,185,18,1,0
0,0,1,0,0,0
0,0,4,4,0,0
0,0,3,0,1,0
0,0,7,0,0,0
0,0,18,0,0,0
0,0,34,0,0,0
0,1,2,0,0,0
0,0,2,0,0,0
0,2,3,1,0,0
0,3,3,1,0,0
0,19,5,12,0,0
0,6,27,47,0,0
0,1,4,1,0,0
0,40,541,32,4,0
0,7,34,8,0,0
0,0,1,0,0,0
0,1,12,1,1,0
0,2,8,1,1,0
0,1,22,3,0,0
0,0,25,1,1,0
0,0,8,1,1,0
0,0,2,0,0,0
0,0,38,1,0,0
0,1,14,3,1,0
0,2,56,10,1,0
0,4,39,2,2,0
0,0,6,0,0,0
0,0,25,1,1,0
0,0,29,2,0,0
0,7,64,3,2,0
0,0,7,0,1,0
0,7,50,3,1,0
0,0,1,0,0,0
0,1,2,2,2,0
0,0,2,3,0,0
0,0,3,0,0,0
0,4,71,9,0,0
0,2,37,3,0,0
0,5,55,5,1,0
0,10,63,10,1,0
0,1,11,2,0,0
0,0,0,1,0,0
0,8,42,1,0,0
0,1,2,0,0,0
0,9,11,0,0,0
0,10,16,2,2,0
0,1,4,1,3,0
0,8,8,1,0,0
