I,R,C,W,E,F
0,0,13,11,1,0
0,0,8,4,3,0
0,0,13,0,2,0
0,4,187,100,6,0
0,0,25,10,0,0
0,0,16,11,2,0
0,0,3,2,1,0
0,0,22,6,0,0
0,0,8,1,0,0
0,1,16,6,1,0
0,0,10,13,1,0
0,0,41,2,5,0
0,0,9,4,1,0
0,0,17,2,2,0
0,0,28,132,3,0
0,2,22,15,1,0
0,0,7,5,1,0
0,7,41,11,5,0
0,11,49,39,2,0
0,0,28,6,2,0
0,0,13,10,0,0
0,3,67,5,0,0
0,0,10,1,3,0
0,0,15,4,3,0
0,0,16,4,3,0
0,0,9,1,2,0
0,0,23,8,2,0
0,2,40,3,0,0
0,0,8,0,1,0
0,6,67,12,4,0
0,1,6,1,2,0
0,1,32,6,2,0
0,0,2,2,1,0
0,0,5,0,1,0
0,0,6,2,1,0
0,4,25,10,0,0
0,0,15,6,3,0
0,0,16,0,2,0
0,0,10,5,2,0
0,0,12,1,1,0
0,0,12,0,1,0
0,0,9,1,2,0
0,0,12,3,1,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,27,309,33,34,0
0,77,1529,75,35,0
0,2,49,3,4,0
0,11,264,36,11,0
0,0,1,1,0,0
0,2,69,5,2,0
0,20,176,10,9,0
0,3,17,2,3,0
0,17,83,27,10,0
0,3,204,7,6,0
0,2,84,14,3,0
0,0,2,0,1,0
0,0,16,2,1,0
0,0,3,1,0,0
0,9,128,25,4,0
0,0,2,4,0,0
0,0,15,1,1,0
0,0,24,0,0,0
0,0,9,0,0,0
0,0,102,11,8,0
0,4,84,15,4,0
0,10,77,10,19,0
0,11,84,14,11,0
0,0,1,5,0,0
0,23,249,17,7,0
0,0,15,2,0,0
0,0,2,2,0,0
0,2,17,0,1,0
0,7,126,5,0,0
0,0,1,16,0,0
0,18,614,27,20,0
0,25,445,42,5,0
0,2,105,1,2,0
0,6,45,14,3,0
0,2,28,2,5,0
0,4,21,9,1,0
0,5,85,10,13,0
0,54,1272,44,20,0
0,4,484,21,24,0
0,3,14,1,2,0
0,4,11,4,4,0
0,15,379,82,21,0
0,2,86,6,3,0
0,0,29,0,5,0
0,20,344,21,9,0
0,1,56,4,1,0
0,1,16,6,8,0
0,122,6934,417,88,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,40,10,0,0
0,7,92,36,1,0
0,24,343,11,15,0
0,2,103,7,5,0
0,14,217,47,7,0
0,2,24,1,7,0
0,21,552,45,24,0
0,0,1,0,0,0
0,12,123,8,8,0
0,20,110,9,3,0
0,6,143,20,11,0
0,0,1,0,0,0
0,0,23,0,1,0
0,0,139,1,3,0
0,0,78,0,5,0
0,0,24,0,2,0
0,0,18,0,3,0
0,0,11,0,1,0
0,0,32,0,3,0
0,0,36,2,4,0
0,2,87,3,7,0
0,0,35,0,2,0
0,1,35,0,1,0
0,0,1,1,0,0
0,0,1,0,0,0
0,0,2,8,0,0
0,0,1,17,0,0
0,0,1,23,0,0
0,24,447,19,13,0
0,9,419,46,12,0
0,0,1,0,1,0
0,0,2,0,0,0
0,0,2,0,0,0
0,2,9,0,2,0
0,23,286,10,14,0
0,6,169,4,7,0
0,1,49,1,2,0
0,1,30,0,2,0
0,0,69,0,0,0
0,14,124,26,10,0
0,5,16,0,5,0
0,0,2,0,0,0
0,1,5,1,1,0
0,0,22,0,1,0
0,0,1,0,0,0
0,0,2,0,0,0
0,1,17,2,3,0
0,8,115,9,10,0
0,6,122,10,7,0
0,1,35,1,2,0
0,12,25,3,4,0
0,0,86,1,1,0
0,8,66,12,8,0
0,0,2,0,0,0
0,0,1,0,0,0
0,2,6,0,1,0
