I,R,C,W,E,F
0,0,0,0,0,1
0,0,0,0,0,2
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,13,0,0,0
0,0,18,0,0,0
0,0,1,2,0,0
0,6,70,20,0,0
0,1,29,13,0,0
0,10,73,22,4,0
0,1,10,0,0,0
0,2,57,2,1,0
0,4,122,8,0,0
0,2,114,5,2,0
0,2,86,12,8,0
0,0,24,2,0,0
0,4,50,11,1,0
0,1,8,0,0,0
0,3,9,2,0,0
0,1,9,5,0,0
0,11,102,39,7,0
0,5,34,16,1,0
0,1,25,6,1,0
0,7,66,17,9,0
0,16,64,10,0,0
0,0,1,1,0,0
0,0,24,5,0,0
0,3,2,4,0,0
0,0,1,0,0,0
0,0,15,3,0,0
0,0,50,0,29,0
0,4,7,1,0,0
0,10,72,16,2,0
0,1,1,0,0,0
0,10,85,7,1,0
0,1,33,0,0,0
0,0,21,16,0,0
0,6,63,18,10,0
0,2,86,6,0,0
0,33,392,97,19,0
0,0,3,0,0,0
0,4,26,5,0,0
0,0,6,0,0,0
0,6,65,8,3,0
0,5,13,3,0,0
0,0,3,0,0,0
0,4,47,16,0,0
0,7,59,5,0,0
0,2,13,6,1,0
0,2,0,2,0,0
0,4,5,4,0,0
0,15,102,16,1,0
0,0,7,0,0,0
0,3,12,2,0,0
0,2,6,6,0,0
0,4,66,11,0,0
0,13,71,6,0,0
0,1,18,2,0,0
0,4,35,6,1,0
0,16,85,17,4,0
0,5,46,6,1,0
0,0,4,0,0,0
0,0,2,2,0,0
0,10,43,6,0,0
0,4,46,4,0,0
0,0,13,18,0,0
0,2,80,5,14,0
0,2,33,8,11,0
0,0,33,1,0,0
0,0,1,0,0,0
0,1,72,14,30,0
0,1,6,9,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,7,1,0,0
0,0,8,4,0,0
0,1,8,1,0,0
0,0,7,0,8,0
0,0,5,1,0,0
0,0,2,0,0,0
0,0,8,0,1,0
0,4,158,29,28,0
0,1,19,0,1,0
0,1,13,3,1,0
0,0,31,18,3,0
0,0,12,0,1,0
0,0,27,0,4,0
0,24,116,13,3,0
0,0,15,0,1,0
0,2,43,1,5,0
0,2,10,0,1,0
0,0,19,18,0,0
0,2,101,57,5,0
0,0,201,1,1,0
0,31,191,31,11,0
0,0,14,1,1,0
0,0,4,0,2,0
0,5,188,11,96,0
0,0,11,7,1,0
0,2,29,2,2,0
0,10,104,28,6,0
0,0,1,1,1,0
0,0,15,1,1,0
0,0,25,2,1,0
0,0,41,0,0,0
0,0,77,14,9,0
0,1,63,4,50,0
0,0,3,0,0,0
0,0,5,0,1,0
0,7,46,0,1,0
0,28,95,52,3,0
0,0,13,1,0,0
0,0,0,57,0,0
0,3,28,6,0,0
0,0,8,3,2,0
0,0,2,1,0,0
0,6,70,7,3,0
0,3,33,1,0,0
0,1,23,2,2,0
0,1,21,1,2,0
0,0,10,0,2,0
0,0,1,3,0,0
0,0,10,5,0,0
0,0,40,2,0,0
0,0,1,2,0,0
0,6,13,9,11,0
0,0,1,2,0,0
0,1,23,3,3,0
0,1,4,2,1,0
0,3,8,9,5,0
0,1,31,1,0,0
0,0,1,4,0,0
0,7,103,23,38,0
0,0,1,2,0,0
0,31,122,30,1,0
0,0,5,0,0,0
0,1,5,5,0,0
0,6,7,2,5,0
0,0,1,2,0,0
0,0,25,2,0,0
0,2,3,0,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,4,11,10,6,0
0,0,20,1,2,0
0,0,6,0,0,0
0,7,120,8,4,0
0,1,29,8,4,0
0,0,8,0,1,0
0,0,10,1,1,0
0,0,7,1,1,0
0,0,5,0,1,0
0,0,25,5,1,0
0,0,36,2,1,0
0,4,50,11,0,0
0,1,16,1,1,0
0,14,233,39,6,0
0,3,31,2,2,0
0,0,11,0,1,0
0,0,1,0,0,0
0,0,6,4,1,0
0,0,18,0,1,0
0,0,3,3,1,0
0,4,5,4,1,0
0,0,10,2,1,0
0,1,22,15,1,0
0,0,20,5,1,0
0,4,43,8,1,0
0,1,145,7,1,0
0,4,85,16,2,0
0,0,47,20,3,0
0,1,5,4,1,0
0,0,24,6,1,0
0,0,13,1,1,0
0,0,38,0,1,0
0,0,6,1,1,0
0,1,8,0,1,0
0,0,2,0,0,0
0,0,1,2,1,0
0,0,21,2,1,0
0,2,21,1,1,0
0,1,32,0,1,0
0,0,22,4,1,0
0,0,18,8,3,0
0,0,9,0,3,0
0,0,2,0,0,0
0,0,9,1,1,0
0,0,7,1,3,0
0,0,16,3,4,0
0,0,54,2,1,0
0,2,101,9,0,0
0,0,11,0,1,0
0,0,22,0,1,0
0,0,8,2,1,0
0,0,5,0,1,0
0,2,10,1,1,0
0,0,9,0,1,0
0,0,19,0,0,0
0,0,2,0,0,0
0,0,4,0,0,0
0,4,33,15,2,0
0,4,332,58,2,0
0,0,9,2,2,0
0,0,2,1,0,0
0,1,5,0,0,0
0,3,65,6,0,0
0,0,8,0,0,0
0,0,14,4,0,0
0,0,8,0,0,0
0,5,42,9,0,0
0,0,6,2,0,0
0,5,27,7,0,0
0,0,12,1,0,0
0,2,15,3,1,0
0,3,29,9,1,0
0,3,5,0,0,0
0,0,10,0,0,0
0,0,0,2,0,0
0,0,1,0,0,0
0,23,82,5,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,7,4,0,0
0,0,2,0,0,0
0,3,4,3,2,0
0,0,7,0,0,0
0,3,9,0,3,0
0,0,13,0,0,0
0,0,1,2,0,0
0,4,38,1,1,0
0,1,25,16,0,0
0,6,93,4,2,0
0,0,1,0,0,0
0,0,5,4,0,0
0,0,10,1,0,0
0,1,2,7,0,0
0,2,4,2,0,0
0,0,2,2,0,0
0,0,6,6,1,0
0,0,9,2,0,0
0,0,13,13,0,0
0,0,1,0,0,0
0,1,4,0,2,0
0,1,1,0,1,0
0,1,50,5,0,0
0,1,29,1,0,0
0,2,27,5,0,0
0,6,30,11,2,0
0,0,8,0,0,0
0,1,16,9,1,0
0,1,16,2,0,0
0,0,137,6,2,0
0,1,41,3,1,0
0,0,32,26,1,0
0,2,14,1,0,0
0,0,16,0,0,0
0,0,9,0,1,0
0,1,97,17,1,0
0,2,23,2,0,0
0,0,7,0,1,0
0,0,14,3,2,0
0,0,10,12,4,0
0,0,2,0,0,0
0,0,1,0,0,0
0,0,13,0,0,0
0,0,5,3,0,0
0,0,4,2,0,0
0,2,31,7,4,0
0,1,4,4,1,0
0,1,4,4,2,0
0,0,4,1,1,0
0,6,38,10,2,0
0,3,43,23,0,0
0,4,43,11,3,0
0,12,100,28,7,0
0,2,6,5,1,0
0,1,11,7,0,0
0,1,11,13,3,0
0,0,29,8,1,0
0,0,40,4,0,0
0,13,107,31,6,0
0,0,25,7,1,0
0,5,97,14,10,0
0,1,105,21,4,0
0,0,5,4,1,0
0,6,47,17,1,0
0,5,77,28,0,0
0,0,4,1,0,0
0,2,20,14,0,0
0,4,79,21,4,0
0,14,29,7,0,0
0,0,6,1,1,0
0,2,0,8,1,0
0,5,99,14,15,0
0,2,19,4,3,0
0,0,3,2,2,0
0,0,1,2,1,0
0,2,8,2,2,0
0,0,14,6,0,0
0,1,12,3,1,0
0,0,4,35,0,0
0,2,18,2,0,0
0,6,26,12,7,0
0,14,59,17,4,0
0,0,7,1,0,0
0,0,7,4,1,0
0,0,3,0,2,0
0,0,2,0,4,0
0,0,64,21,1,0
0,0,6,0,1,0
0,0,4,4,0,0
0,0,14,0,1,0
0,16,62,7,2,0
0,0,9,0,1,0
0,0,0,1,0,0
0,0,1,1,0,0
0,0,22,2,9,0
0,1,30,1,1,0
0,3,6,0,0,0
0,4,20,0,0,0
0,2,4,0,0,0
0,1,6,0,0,0
0,0,32,3,0,0
0,2,0,0,0,0
0,2,3,0,0,0
0,1,7,0,0,0
0,0,3,1,0,0
0,1,59,7,2,0
0,0,4,1,1,0
0,0,1,2,0,0
0,0,11,31,0,0
0,1,1,3,0,0
0,1,10,6,0,0
0,2,17,6,0,0
0,1,2,1,0,0
0,0,8,3,0,0
0,0,2,3,0,0
0,0,0,1,0,0
0,1,8,2,0,0
0,0,6,6,0,0
0,1,3,2,0,0
0,2,5,6,0,0
0,0,1,7,0,0
0,1,12,1,0,0
0,0,18,5,1,0
0,0,2,0,0,0
0,1,6,4,6,0
0,0,2,0,0,0
0,0,10,3,0,0
0,6,21,1,5,0
0,0,25,16,0,0
0,0,4,0,23,0
0,0,52,7,1,0
0,1,0,2,0,0
0,2,23,2,0,0
0,0,4,0,0,0
0,1,21,10,1,0
0,3,28,3,0,0
0,5,34,5,0,0
0,0,1,0,0,0
0,0,1,2,0,0
0,0,14,2,2,0
0,1,0,0,0,0
0,0,1,0,0,0
