I,R,C,W,E,F
0,0,9,0,2,0
0,5,36,2,0,0
0,0,9,0,3,0
0,0,6,0,2,0
0,0,2,0,1,0
0,1,5,3,4,0
0,0,2,0,1,0
0,7,13,1,8,0
0,0,11,6,6,0
0,0,1,3,3,0
0,0,2,4,4,0
0,4,51,10,6,0
0,5,8,2,5,0
0,1,4,6,1,0
0,0,3,1,1,0
0,3,0,0,2,0
0,2,2,0,1,0
0,1,13,3,3,0
0,0,2,4,3,0
0,2,6,3,4,0
0,1,5,3,7,0
0,0,1,0,1,0
0,0,8,4,4,0
0,1,43,2,5,0
0,0,17,16,2,0
0,4,29,26,4,0
0,9,67,37,3,0
0,0,64,2,2,0
0,1,7,4,0,0
0,0,6,3,1,0
0,0,18,0,9,0
0,0,32,1,1,0
0,0,38,0,3,0
0,0,40,45,15,0
0,1,39,0,1,0
0,2,13,0,3,0
0,4,26,0,4,0
0,1,9,1,6,0
0,0,2,0,0,0
0,0,1,1,0,0
