I,R,C,W,E,F
0,0,2,0,0,0
0,0,11,6,0,0
0,0,7,1,0,0
0,0,11,0,0,0
0,0,7,11,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,4,17,1,1,0
0,0,7,0,1,0
0,0,5,6,1,0
0,1,42,2,1,0
0,3,55,22,1,0
0,0,17,15,1,0
0,1,47,21,0,0
0,0,6,2,1,0
0,2,38,5,0,0
0,0,7,0,1,0
0,1,3,0,1,0
0,1,20,10,1,0
0,2,32,13,3,0
0,0,22,0,1,0
0,0,43,15,0,0
0,1,5,2,0,0
0,0,22,7,1,0
0,1,4,0,1,0
0,0,14,6,1,0
0,0,11,0,0,0
0,0,2,0,0,0
0,2,8,6,1,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,1,1,0,0
0,0,2,0,0,0
0,0,16,3,0,0
0,0,21,1,0,0
0,0,7,2,0,0
0,0,14,2,0,0
0,5,38,14,0,0
0,1,11,1,0,0
0,0,19,8,1,0
0,0,24,3,0,0
0,0,2,0,0,0
0,0,22,3,0,0
0,0,9,0,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,4,4,0,0
0,1,4,0,0,0
0,0,4,0,0,0
0,0,2,1,0,0
0,0,3,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,1,3,0,0,0
0,0,2,0,0,0
0,1,4,0,0,0
0,1,2,0,0,0
0,3,2,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
0,0,3,1,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,1,22,4,1,0
0,3,22,7,2,0
0,1,7,2,0,0
0,0,7,3,0,0
0,3,40,11,1,0
0,1,8,2,1,0
0,1,6,1,0,0
0,1,7,1,0,0
0,3,26,10,1,0
0,0,1,0,0,0
0,5,28,9,4,0
0,0,6,0,1,0
0,0,7,0,0,0
0,0,7,2,0,0
0,0,13,2,0,0
0,0,2,0,0,0
0,1,18,6,0,0
0,1,8,1,0,0
0,0,2,0,0,0
0,1,7,0,0,0
0,5,35,11,0,0
0,1,6,3,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,14,1,5,0
0,0,14,2,1,0
0,0,3,0,0,0
0,0,3,4,1,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,2,1,0,0
0,4,20,3,2,0
0,0,7,3,1,0
0,0,1,0,0,0
0,0,11,3,0,0
0,0,14,0,1,0
0,0,1,0,0,0
0,0,4,0,0,0
0,0,7,0,0,0
0,0,1,0,0,0
0,0,6,1,0,0
0,0,9,3,1,0
0,0,1,0,0,0
0,7,25,4,0,0
0,1,22,37,1,0
0,0,1,0,0,0
0,0,5,1,0,0
0,0,7,2,1,0
0,0,5,1,0,0
0,0,1,0,0,0
0,1,3,0,0,0
0,0,6,0,0,0
0,0,1,0,0,0
0,0,3,0,0,0
0,0,2,1,1,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,25,10,2,0
0,1,24,9,1,0
0,1,8,3,1,0
0,0,1,0,0,0
0,1,2,2,0,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,16,3,1,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,6,2,1,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,4,1,2,0
0,0,4,0,0,0
0,0,1,0,0,0
0,0,15,1,2,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
0,0,3,2,0,0
0,0,2,0,1,0
0,0,18,0,0,0
0,0,1,0,0,0
0,1,11,17,2,0
0,3,5,1,0,0
0,0,16,11,0,0
0,2,28,0,0,0
0,0,1,0,0,0
0,1,18,13,2,0
0,1,11,0,1,0
0,0,10,3,1,0
0,0,1,0,0,0
0,0,7,0,1,0
0,0,1,0,0,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,5,0,1,0
0,0,1,0,0,0
0,0,6,0,1,0
0,0,1,0,0,0
0,0,6,1,1,0
0,2,16,6,1,0
0,3,42,3,3,0
0,0,1,0,0,0
0,0,6,0,0,0
0,0,1,0,0,0
0,0,9,2,3,0
0,0,1,0,0,0
0,0,17,0,1,0
0,0,1,0,0,0
0,0,7,2,1,0
0,0,1,0,0,0
0,0,4,4,1,0
0,0,8,2,2,0
0,24,12,1,0,0
