I,R,C,W,E,F
0,0,29,5,1,0
0,0,5,0,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,9,0,9,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,5,3,0,0
0,0,8,0,5,0
0,0,4,1,5,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,5,1,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,3,0,0,0
0,0,0,0,1,0
0,0,7,1,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,102,1,59,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,9,5,1,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,9,6,2,4,0
0,0,72,0,0,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,2,3,1,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,5,0,2,0
0,1,5,0,5,0
0,1,6,0,4,0
0,1,3,0,0,0
0,0,0,0,1,0
0,3,3,1,5,0
0,0,0,0,1,0
0,0,2,0,1,0
0,0,0,0,1,0
0,0,3,0,2,0
0,0,0,1,1,0
0,0,4,1,3,0
0,0,0,0,1,0
0,0,4,0,2,0
0,0,2,0,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,4,1,1,0
0,0,0,0,1,0
0,0,2,0,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,2,0,0,0
0,0,0,0,1,0
0,0,2,1,3,0
0,1,4,1,2,0
0,0,0,1,0,0
0,0,0,0,1,0
0,3,4,1,9,0
0,2,4,0,8,0
0,1,5,1,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,3,0,0,0
0,0,2,2,0,0
0,2,8,1,7,0
0,4,29,11,9,0
0,0,9,1,2,0
0,0,0,0,1,0
0,1,91,0,4,0
0,1,26,13,7,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,59,10,8,0
0,0,21,1,4,0
0,0,0,0,1,0
0,9,131,6,6,0
0,0,27,0,3,0
0,0,35,3,4,0
0,0,0,0,1,0
0,0,0,0,1,0
0,6,93,4,12,0
0,1,13,4,12,0
0,0,28,0,5,0
0,0,80,5,9,0
0,0,23,13,10,0
0,0,12,1,10,0
0,0,9,0,3,0
0,0,9,0,2,0
0,0,0,0,1,0
0,7,41,6,7,0
0,0,0,0,1,0
0,0,7,0,4,0
0,0,5,0,8,0
0,0,13,0,4,0
0,1,13,1,2,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,11,4,6,0
0,0,93,5,9,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,29,0,4,0
0,0,3,0,0,0
0,0,4,0,4,0
0,0,46,6,11,0
0,0,9,0,1,0
0,0,4,0,2,0
0,10,13,2,6,0
0,0,4,1,2,0
0,3,9,1,3,0
0,1,7,4,8,0
0,0,6,0,0,0
0,0,0,0,1,0
0,0,18,0,1,0
0,0,18,0,1,0
0,0,0,0,1,0
0,0,18,0,1,0
0,0,18,0,1,0
0,0,28,12,3,0
0,0,120,2,13,0
0,0,15,0,6,0
0,0,0,0,1,0
0,0,0,0,1,0
0,3,113,0,9,0
0,1,79,2,10,0
0,5,147,13,29,0
0,0,0,0,1,0
0,0,30,0,4,0
0,0,18,1,2,0
0,0,6,0,1,0
0,23,57,1,5,0
0,0,8,0,1,0
0,8,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,3,0,3,0
0,0,6,0,3,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
0,0,0,0,1,0
